# Shadow tomography log started 2020-01-13 16:53:16
# Dimension = 8
# True state = ( 0.14721585 -0.00534268 -0.35672598 -0.06598247  0.68291300 -0.18321269  0.05912638  0.14621629  0.12210690 -0.01363021 -0.06913602 -0.12444022  0.33730013 -0.28221549 -0.30506144 -0.00625829)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7
  29283    29283   0.00000000  0.00000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.00000000 -0.50000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.50000000  0.50000000  0.00000000
  59347    30064   0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  90182    30835   0.35355338 -0.00000000 -0.35355338 -0.00000000 -0.35355338 -0.00000000  0.35355338 -0.00000000 -0.00000000 -0.35355338 -0.00000000  0.35355338 -0.00000000 -0.35355338 -0.00000000  0.35355338
  173979   83797   0.35355338  0.00000000  0.00000000  0.35355338  0.00000000 -0.35355338  0.35355338  0.00000000  0.35355338  0.00000000  0.00000000  0.35355338  0.00000000 -0.35355338  0.35355338  0.00000000
  195327   21348   0.35355338  0.00000000  0.00000000 -0.35355338  0.35355338  0.00000000  0.00000000  0.35355338  0.00000000 -0.35355338 -0.35355338  0.00000000  0.00000000  0.35355338 -0.35355338  0.00000000
  196020   693     0.35355338  0.00000000  0.00000000  0.35355338  0.35355338  0.00000000  0.00000000 -0.35355338  0.00000000 -0.35355338  0.35355338  0.00000000  0.00000000  0.35355338  0.35355338  0.00000000
  223008   26988   0.35355338  0.00000000  0.35355338  0.00000000 -0.35355338  0.00000000 -0.35355338  0.00000000 -0.35355338  0.00000000 -0.35355338  0.00000000  0.35355338  0.00000000  0.35355338  0.00000000
  230167   7159   -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000 -0.00000000
  237270   7103   -0.00000000  0.00000000 -0.00000000  0.00000000 -0.00000000  0.00000000 -0.00000000  0.00000000  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.50000000  0.00000000 -0.00000000 -0.50000000
  237349   79      0.35355338  0.00000000 -0.00000000 -0.35355338 -0.00000000 -0.35355338  0.35355338  0.00000000 -0.00000000 -0.35355338  0.35355338  0.00000000  0.35355338  0.00000000 -0.00000000 -0.35355338
