# Shadow tomography log started 2019-12-30 23:51:32
# Dimension = 2
# True state = (-0.30738525  0.10128641 -0.25510160  0.91114134)
# N        C              re0         im0         re1         im1
  87545    87545   0.70710677  0.00000000  0.00000000 -0.70710677
  100464   12919   0.70710677 -0.00000000 -0.70710677 -0.00000000
  267929   167465  0.00000000  0.00000000  1.00000000  0.00000000
  356245   88316   0.70710677 -0.00000000 -0.00000000  0.70710677
  455585   99340   0.70710677  0.00000000 -0.00000000 -0.70710677
  468760   13175   0.70710677 -0.00000000 -0.70710677 -0.00000000
  556157   87397   0.70710677 -0.00000000 -0.00000000  0.70710677
  645496   89339   0.70710677  0.00000000  0.00000000  0.70710677
  736094   90598   0.70710677 -0.00000000 -0.00000000  0.70710677
  826528   90434   0.70710677 -0.00000000 -0.00000000  0.70710677
  1044778  218250  0.70710677  0.00000000  0.70710677  0.00000000
  1105415  60637   1.00000000  0.00000000  0.00000000  0.00000000
  1166040  60625   1.00000000  0.00000000  0.00000000  0.00000000
  1225897  59857   1.00000000  0.00000000  0.00000000  0.00000000
  1394303  168406  0.00000000  0.00000000  1.00000000  0.00000000
  1563691  169388  0.00000000  0.00000000  1.00000000  0.00000000
  1731784  168093  0.00000000  0.00000000  1.00000000  0.00000000
  1822014  90230   0.70710677 -0.00000000 -0.00000000  0.70710677
  1923808  101794  0.70710677  0.00000000 -0.00000000 -0.70710677
  1937302  13494   0.70710677  0.00000000 -0.70710677  0.00000000
  2036432  99130   0.70710677  0.00000000  0.00000000 -0.70710677
  2096277  59845   1.00000000  0.00000000  0.00000000  0.00000000
  2109495  13218   0.70710677 -0.00000000 -0.70710677 -0.00000000
  2329296  219801  0.70710677  0.00000000  0.70710677  0.00000000
  2432658  103362  0.70710677  0.00000000  0.00000000 -0.70710677
  2600030  167372  0.00000000  0.00000000  1.00000000  0.00000000
  2819785  219755  0.70710677  0.00000000  0.70710677  0.00000000
  2990494  170709  0.00000000  0.00000000  1.00000000  0.00000000
  3091204  100710  0.70710677  0.00000000  0.00000000 -0.70710677
  3179647  88443   0.70710677 -0.00000000 -0.00000000  0.70710677
  3280537  100890  0.70710677  0.00000000 -0.00000000 -0.70710677
  3340586  60049   1.00000000  0.00000000  0.00000000  0.00000000
  3442395  101809  0.70710677  0.00000000 -0.00000000 -0.70710677
  3662321  219926  0.70710677  0.00000000  0.70710677  0.00000000
  3753172  90851   0.70710677 -0.00000000 -0.00000000  0.70710677
  3854595  101423  0.70710677  0.00000000  0.00000000 -0.70710677
  3943206  88611   0.70710677  0.00000000  0.00000000  0.70710677
  4003687  60481   1.00000000  0.00000000  0.00000000  0.00000000
  4222603  218916  0.70710677  0.00000000  0.70710677  0.00000000
  4324255  101652  0.70710677  0.00000000 -0.00000000 -0.70710677
  4491635  167380  0.00000000  0.00000000  1.00000000  0.00000000
  4581506  89871   0.70710677 -0.00000000 -0.00000000  0.70710677
  4683116  101610  0.70710677  0.00000000 -0.00000000 -0.70710677
  4902310  219194  0.70710677  0.00000000  0.70710677  0.00000000
  4991798  89488   0.70710677  0.00000000  0.00000000  0.70710677
  5051700  59902   1.00000000  0.00000000  0.00000000  0.00000000
  5139779  88079   0.70710677 -0.00000000 -0.00000000  0.70710677
  5304997  165218  0.00000000  0.00000000  1.00000000  0.00000000
  5523097  218100  0.70710677  0.00000000  0.70710677  0.00000000
  5741530  218433  0.70710677  0.00000000  0.70710677  0.00000000
  5910343  168813  0.00000000  0.00000000  1.00000000  0.00000000
  5971500  61157   1.00000000  0.00000000  0.00000000  0.00000000
  6060614  89114   0.70710677  0.00000000  0.00000000  0.70710677
  6150064  89450   0.70710677 -0.00000000 -0.00000000  0.70710677
  6316168  166104  0.00000000  0.00000000  1.00000000  0.00000000
  6405747  89579   0.70710677 -0.00000000 -0.00000000  0.70710677
  6506278  100531  0.70710677  0.00000000  0.00000000 -0.70710677
  6677010  170732  0.00000000  0.00000000  1.00000000  0.00000000
  6893588  216578  0.70710677  0.00000000  0.70710677  0.00000000
  7061290  167702  0.00000000  0.00000000  1.00000000  0.00000000
  7279507  218217  0.70710677  0.00000000  0.70710677  0.00000000
  7445408  165901  0.00000000  0.00000000  1.00000000  0.00000000
  7546686  101278  0.70710677  0.00000000  0.00000000 -0.70710677
