# Shadow tomography log started 2019-12-31 04:46:40
# Dimension = 2
# True state = (-0.30738525  0.10128641 -0.25510160  0.91114134)
# N        C              re0         im0         re1         im1
  10184521 22350   0.69271207 -0.11987349 -0.70506171 -0.09310383
  10413393 228872  0.70134993 -0.11784994  0.69650038  0.09543000
  10583091 169698 -0.18637726  0.00804877 -0.59460042  0.78207996
  10628328 45237  -0.29231050  0.93795165 -0.10152822 -0.15650332
  10662056 33728  -0.55568533  0.47210760  0.68208808 -0.05553441
  10849302 187246  0.43339431  0.52962023  0.04575173  0.72772148
  11053259 203957  0.31941973 -0.22392238  0.89479193  0.21720314
  11092621 39362   0.07242578  0.91792391  0.27178297 -0.27982891
  11212114 119493 -0.39269281 -0.84279747 -0.25962392 -0.26092184
  11314296 102182 -0.22334287  0.29257947  0.27931765 -0.88684658
  11420522 106226  0.45307624  0.66782327 -0.37797395  0.45372866
  11508030 87508   0.43771745 -0.39640564 -0.68598028 -0.42508476
  11566104 58074   0.44269999 -0.18841582 -0.82282170  0.30245768
  11719703 153599 -0.50571121 -0.71608126 -0.25750562 -0.40641685
  11781031 61328   0.66349027 -0.33422638 -0.47712894 -0.46949053
  11917752 136721  0.65840513 -0.12073140  0.36149937  0.64903376
  12005354 87602  -0.65306026  0.28299987 -0.16585354 -0.68258038
  12117134 111780 -0.69485668 -0.10294443 -0.22229390  0.67613760
  12192281 75147  -0.28931550 -0.75313658  0.57916079 -0.11685294
  12319404 127123  0.22478394 -0.54640096 -0.68443269 -0.42716514
  12342853 23449   0.47045857  0.48917200 -0.60420298 -0.41751437
  12539349 196496 -0.26168175 -0.68622310 -0.36311725 -0.57338153
  12610708 71359  -0.88457540  0.18335258 -0.08980107 -0.41933753
  12757124 146416 -0.35542182 -0.23996569 -0.50055891  0.75201900
  12798662 41538  -0.93407439  0.27096361  0.13689496 -0.18799876
  12976765 178103 -0.01550792  0.23204152  0.54299812  0.80688864
  13082950 106185  0.39646549  0.12392492 -0.15408313 -0.89650216
  13184926 101976  0.82298400  0.38749848  0.01374983  0.41515444
  13248097 63171  -0.14838631  0.97414627  0.15719413  0.06565486
  13383557 135460 -0.06108482 -0.15902578  0.97802751 -0.12017333
  13546209 162652 -0.50057423  0.69820187 -0.19623650  0.47268470
  13597163 50954  -0.20267443 -0.46996029  0.51006402  0.69129958
  13761459 164296  0.14037264  0.04707781  0.42297748 -0.89396267
  13812531 51072  -0.96065451 -0.23499387  0.05191473 -0.13865662
  13954859 142328 -0.15588921 -0.67425154  0.58671400 -0.42053549
  14020518 65659   0.25844431 -0.67401035 -0.69175645  0.01973827
  14154326 133808 -0.05389480 -0.90582768  0.04602060 -0.41767651
  14226347 72021  -0.20127707 -0.36886190  0.29434293  0.85836512
  14290446 64099  -0.52921160 -0.47944335 -0.09696762  0.69330112
  14446748 156302  0.01962181 -0.69977435  0.60154263 -0.38480814
  14675601 228853  0.28855532  0.48455557  0.14517928  0.81293586
  14687174 11573  -0.81795093 -0.11356942  0.49537300  0.26956234
  14769301 82127  -0.14272463 -0.67452433 -0.68100221  0.24674399
  14878898 109597 -0.69014859 -0.21986706  0.11618146 -0.67959934
  15022135 143237  0.06533776 -0.09331612 -0.35291508  0.92869480
  15088016 65881   0.95174503 -0.28496399  0.09778863 -0.05843205
  15308882 220866  0.20538887 -0.66730050  0.38752217 -0.60195683
  15332173 23291   0.42665881 -0.57488061 -0.55202503  0.42748440
  15481001 148828  0.21580328  0.64310445 -0.44589122  0.58397485
  15535305 54304   0.59817118 -0.42665776 -0.63574371 -0.23661008
  15751377 216072 -0.53044893  0.11320546 -0.74720412  0.38405006
  15760181 8804   -0.78753357 -0.29257363  0.54014051  0.04939410
  15988112 227931  0.14589400  0.68440496  0.20317698  0.68485320
  16002871 14759   0.60087819  0.38632912 -0.61644310 -0.33119950
  16134790 131919 -0.46482769 -0.45707126 -0.67224454  0.35086803
  16209868 75078  -0.34366096 -0.67595727  0.64382695 -0.10230233
  16325656 115788 -0.63807185  0.54982890 -0.50980029 -0.17508903
  16416295 90639   0.06705430 -0.53484224 -0.77447924  0.33110332
  16480754 64459   0.42823345  0.13066608 -0.84449577 -0.29388670
  16623135 142381 -0.00908335 -0.89412526  0.01279461 -0.44754196
  16753043 129908 -0.04771786  0.24540278 -0.63290058 -0.73276008
  16837968 84925  -0.33439734 -0.90866875 -0.23779768 -0.07714779
  16872773 34805   0.90596703 -0.27567275 -0.16667195  0.27467932
  17060866 188093  0.31752279 -0.04906679  0.60093257 -0.73188235
  17177507 116641  0.64259810  0.69708328  0.28879066  0.13320113
  17286974 109467 -0.29779486 -0.11162799  0.94749200 -0.03341132
  17490722 203748 -0.30807898 -0.63375924  0.07948570 -0.70506638
  17530860 40138   0.65157712 -0.28086265 -0.69592242 -0.11070418
  17596913 66053  -0.39428572 -0.78589271  0.45727373 -0.13346216
  17737035 140122 -0.32962206 -0.34389056 -0.73392621  0.48419098
  17870762 133727 -0.35837837  0.57418709 -0.71994364 -0.15347732
  17928020 57258   0.43791370  0.59169733  0.37415746 -0.56403197
  18141498 213478  0.69058481 -0.02371384  0.66825283  0.27562372
  18169844 28346   0.72284157 -0.00550767 -0.63152663 -0.28043510
  18208757 38913  -0.87976357 -0.01489701  0.26698002  0.39308498
  18372516 163759 -0.28944770  0.37684767 -0.87913521 -0.03643003
  18477000 104484  0.65018602  0.67400973  0.06957117  0.34369882
  18570607 93607  -0.28340850  0.20651550  0.93469816 -0.05805448
  18754509 183902  0.78467606  0.17583194  0.57581371  0.14766578
  18787908 33399  -0.51720266 -0.29303247  0.68718988  0.41761640
  18838497 50589  -0.65385022  0.60780334  0.40019259  0.20712528
  19010479 171982  0.44642498 -0.06131659  0.41285245  0.79151618
  19142276 131797  0.18617147 -0.72349063 -0.52220770 -0.41134001
  19217887 75611   0.25845737 -0.61245512  0.51256898  0.54348096
  19319659 101772 -0.25988513  0.20309074  0.11332767 -0.93721433
  19424112 104453 -0.50672190 -0.79652168 -0.32208649 -0.07103818
  19593555 169443  0.29781943 -0.26033987  0.82544125  0.40270769
  19644576 51021  -0.06118796 -0.91639662 -0.35352713  0.17745938
  19789364 144788  0.05892625 -0.11048415  0.90974646  0.39583118
  19851692 62328  -0.98242267 -0.13844366 -0.00756176  0.12498748
  20046084 194392  0.63065464  0.07210779  0.69258691  0.34263472
  20063393 17309  -0.37381992  0.67626463  0.47711058 -0.41867685
  20130387 66994   0.03628262  0.94089545 -0.33656726  0.01103670
  20278893 148506 -0.08644273 -0.32546426 -0.91142108  0.23645779
  20319533 40640   0.86794494  0.39435003 -0.28194170  0.10802089
  20513596 194063  0.17882133  0.24327468  0.94338458  0.13735315
  20688832 175236 -0.12660444  0.86079078 -0.31626327  0.37813767
  20764154 75322  -0.00482854  0.49293736  0.46237381 -0.73702096
  20992962 228808 -0.49095459 -0.12767117 -0.86154854  0.01994415
  21004024 11062   0.56373150 -0.65182088 -0.21400402  0.45993328
  21037118 33094  -0.63867761  0.18529740  0.54911663 -0.50618842
  21232729 195611  0.44993238  0.59608442  0.59533946  0.29633620
  21366162 133433 -0.76707122  0.33639579 -0.48188159 -0.25735142
  21442289 76127  -0.09624581  0.53775121  0.73907984 -0.39410833
  21659085 216796 -0.65127415 -0.05937346 -0.72106948 -0.22885712
  21674660 15575  -0.39402069  0.64580529  0.45254580 -0.47210754
  21774379 99719  -0.05388614 -0.68284323  0.72852358  0.00864924
  21875045 100666 -0.67228035 -0.28082120 -0.32012833  0.60555465
  22055651 180606  0.42526166  0.32428883 -0.04176474  0.84394608
  22092175 36524   0.21363127 -0.81752735 -0.50302452  0.18159586
  22297357 205182  0.60832841  0.26895249  0.74408880 -0.06271337
  22326111 28754   0.10138818 -0.73981183  0.23689922  0.62151239
  22508711 182600 -0.10629109 -0.70670859  0.15727417 -0.68156439
  22536274 27563   0.64623860 -0.26765810 -0.71455867  0.01186278
  22661782 125508 -0.32806876  0.54652445  0.54765286  0.54199470
  22738252 76470  -0.77048399 -0.00602707  0.15609724 -0.61802244
  22923288 185036 -0.17903860 -0.78584381 -0.27495930 -0.52420614
  22961464 38176   0.44638978 -0.38875552 -0.45191391  0.66736732
  23045832 84368   0.35364287 -0.00031384 -0.89747631 -0.26357710
  23158779 112947 -0.52481217 -0.77427954 -0.10758987 -0.33687950
  23302195 143416  0.37253819 -0.61275167  0.69624772  0.03146116
  23359109 56914  -0.04563911  0.69546226  0.65015264 -0.30257371
  23519187 160078  0.09495581 -0.04089267 -0.18732042 -0.97684300
  23563788 44601  -0.97510717 -0.19615604  0.04175062 -0.09458172
  23618113 54325   0.68508984 -0.41830858 -0.50565173 -0.31620590
  23770023 151910 -0.09308821  0.58907081 -0.76515859  0.24261595
  23956842 186819 -0.25900133  0.07662074 -0.91622767 -0.29592977
  23988351 31509   0.91463246  0.30082393 -0.16410370 -0.21452832
  24197601 209250 -0.43452913  0.04345801 -0.84752321 -0.30166248
  24217886 20285   0.50626697  0.74363270 -0.06788900 -0.43138758
  24371492 153606 -0.08119964 -0.24786021 -0.92807960  0.26578221
  24432878 61386  -0.95479684  0.14260057 -0.02878441 -0.25922871
  24558784 125906  0.02805483  0.20088889  0.38812900 -0.89900638
  24634068 75284  -0.95869467 -0.19940188 -0.14822319 -0.13846771
  24863018 228950 -0.54354221  0.28005296 -0.59315834  0.52373218
  24875060 12042   0.31601900 -0.72544069 -0.09939356  0.60331477
  25002326 127266  0.46700121  0.79206677  0.29180258  0.26342239
  25075654 73328   0.10958067 -0.37753434  0.01952953  0.91928151
  25131518 55864   0.45511256  0.50933127  0.16375309 -0.71178588
  25284256 152738 -0.68797613 -0.24524083 -0.18416752 -0.65774471
  25394668 110412  0.50635950 -0.10214395 -0.26733022 -0.81345020
  25486173 91505   0.67565829 -0.52597771  0.36326332  0.36725072
  25516423 30250  -0.81306308  0.49942687  0.29916699 -0.00058224
  25721959 205536 -0.04828545 -0.29524522  0.35993193 -0.88371250
  25869195 147236  0.08445316 -0.63780638 -0.63722552 -0.42428094
  25927733 58538   0.27899576 -0.71290395  0.43476549  0.47424497
  26080658 152925  0.79502831 -0.40671764  0.33563542 -0.29976591
  26151743 71085   0.42283751 -0.15401033 -0.73429127  0.50823774
  26298259 146516  0.64448162 -0.00777129  0.33710763 -0.68625177
  26354379 56120  -0.76187681 -0.06423995  0.33841518 -0.54853634
