# Shadow tomography log started 2020-01-31 05:17:23
# Dimension = 16
# True state = ( 0.16589388 -0.37611488  0.11856739  0.02310517 -0.16235400  0.39307848 -0.28211320 -0.23203222 -0.25315400  0.08428770  0.03820102  0.07088769  0.14063151  0.15200634 -0.03402948  0.06774425  0.03367787  0.13943354 -0.00643501 -0.08040340 -0.20094150  0.14414137  0.11068285 -0.22761958 -0.04905859  0.19174007 -0.02418557 -0.08436637  0.14910425  0.05478301 -0.18395567 -0.34289655)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  4887     4887   -0.04036089  0.47887823  0.08501753  0.11090732 -0.23993035  0.27866835  0.01352081  0.10151901  0.21170568 -0.08917013 -0.03957132  0.01262436 -0.21243089 -0.10846881 -0.14328869 -0.10867973 -0.10936384 -0.11063137  0.16329767 -0.03149143 -0.06745214  0.33063811 -0.01068671 -0.02823213 -0.31813021  0.12032850 -0.23213584  0.21144877  0.04274577 -0.10494543 -0.16880749  0.19446130
  20506    15619   0.06641973  0.01212582 -0.20594980 -0.04204352  0.31119904  0.11566510 -0.11320762 -0.22777215 -0.15667898  0.34893382 -0.11678256 -0.14655967 -0.15835822 -0.11589651  0.02563429 -0.02806658 -0.26193609 -0.11634264  0.22611008  0.06731898  0.01821526 -0.03318689 -0.24579218 -0.05050700  0.12937579 -0.05042023 -0.19436972  0.15201913 -0.25166063 -0.32666616 -0.18475043 -0.26156435
  22333    1827   -0.02293043  0.21257810 -0.24537195 -0.06354310 -0.02141408 -0.19091506 -0.08533559 -0.03186880 -0.06339290  0.00367161  0.11297830  0.15346771 -0.03670883  0.14326783  0.16010886 -0.15953266 -0.17677018  0.18998003  0.16368514  0.29635068  0.38817857 -0.24207686 -0.21803441 -0.23913064 -0.41749951  0.04029644  0.13319753 -0.11465038  0.12812598  0.03946962  0.06472352  0.08114978
  24366    2033    0.01811017 -0.07240317 -0.05988290  0.29365375 -0.33152437  0.24027348  0.16949083 -0.31555316 -0.11573106  0.06152880 -0.30184690  0.16836644  0.10707517 -0.14043703 -0.01920538 -0.05927556 -0.26806692 -0.02384414  0.13980611  0.01847109  0.09255700  0.15845243 -0.24369253  0.13834006  0.18130764 -0.09297090  0.18340768 -0.16663830  0.00768812  0.32072146  0.15121507  0.06114573
  24993    627     0.00168903  0.04581788  0.18337924  0.10682885 -0.13974903  0.20875373 -0.02050057  0.07831197 -0.17811595  0.19746352  0.05958486  0.03056197  0.14410356 -0.08420610 -0.04177310 -0.03672574 -0.15451448  0.07747026 -0.50000249 -0.16673409 -0.18142817 -0.16576351 -0.17086793 -0.15317691 -0.27114856 -0.07041486  0.42712264  0.09143196 -0.09412808 -0.22981944 -0.13534659 -0.08392739
  26259    1266    0.19195765  0.08791116  0.09785098 -0.01460816  0.21540379 -0.08965473 -0.23887449  0.30560917 -0.26999298 -0.09492523 -0.10398937  0.08925573  0.11538640 -0.34142168 -0.16257286 -0.15998480 -0.04529169 -0.00549588  0.37643841  0.19308868 -0.27282887  0.06409093  0.18997894 -0.03422171 -0.00747044 -0.17880936  0.30518143  0.04657645  0.02214182  0.00837853  0.17727833  0.04412406
  36334    10075  -0.03967067 -0.28067285  0.08576374  0.22660654  0.20102863  0.07153976 -0.11371939 -0.05013135 -0.03900683 -0.28075879 -0.14654235 -0.22005241 -0.10293958 -0.03695920  0.15501487 -0.19620186  0.27937957 -0.31716010  0.11077281 -0.09659656  0.18572844  0.09097416 -0.11620409  0.07436896 -0.28521842  0.14558399  0.27209525 -0.11301757  0.10402292  0.02624461 -0.30633591 -0.13594309
  43687    7353    0.06710835 -0.12336137 -0.02173543  0.31148611  0.21563579 -0.04257852 -0.14057305  0.23645822 -0.01632052  0.11410832 -0.01142716 -0.10614111  0.17504696  0.32606553 -0.32290839  0.09971820 -0.09861498 -0.04848292 -0.16398140  0.17290904 -0.04608865  0.27660074 -0.32021612 -0.17424463  0.00708756 -0.06052464 -0.19855507  0.02583795  0.38035005  0.10964896  0.03649909 -0.02681534
  44318    631    -0.13019264  0.31867303 -0.28261536  0.10826020 -0.01098707  0.03065893 -0.12355559  0.19073860  0.02995417  0.06540500  0.25995439 -0.16416065  0.04261198  0.04947985  0.19445180 -0.02580442 -0.10569310  0.09014127 -0.00709989 -0.09757167  0.13789998  0.29325131  0.12622774  0.14318262  0.41572876  0.04628853  0.34203109 -0.20639266  0.17540243 -0.17890725 -0.15345997 -0.05968023
  48248    3930    0.17524008  0.07489830  0.03248516  0.15488887  0.02672156 -0.23931831  0.16582038 -0.23801056  0.11686148 -0.21906859 -0.00888155  0.15722776  0.10232404  0.21725046 -0.12569910 -0.13303332 -0.31711681  0.00402415 -0.06721057  0.13203681 -0.14255807  0.12427783  0.32307201  0.10189866 -0.14509084  0.12436482  0.01045120 -0.11315926 -0.08159651 -0.10187186 -0.05498581 -0.52568147
  51175    2927    0.10619145  0.33956659  0.22489958  0.11752506  0.18368370 -0.38870026 -0.09400291 -0.31645166 -0.06882944  0.02950182  0.04946505 -0.26634092  0.07098971 -0.30103952  0.27135580  0.13582736 -0.07994381  0.00845731 -0.12671171 -0.25507057 -0.10296183  0.09818001 -0.12054395 -0.08167248 -0.06168478  0.14103905 -0.10491413 -0.05328117  0.07729157  0.21049385  0.16531510  0.06561986
  56027    4852    0.34306271 -0.12219865  0.14707890 -0.00481611 -0.07339115  0.04012733  0.04409840 -0.15851592 -0.03708667  0.36436438  0.08317075  0.04511795  0.06012970  0.35051331  0.37220563  0.05755792 -0.03458590 -0.20612486  0.20613170  0.05376317 -0.23233131  0.04975885  0.21628551  0.03396389 -0.11454392 -0.07314059  0.05970891 -0.04247651  0.20835312 -0.12119700 -0.13994705  0.32444011
  57635    1608    0.13528997  0.24970120 -0.14019487 -0.44220026 -0.01293669  0.02916055 -0.05619228 -0.13146551  0.09545203  0.25188003 -0.23882900 -0.15630552  0.38724835  0.03953964 -0.35786983  0.02766011  0.16872859 -0.12224382  0.02031605 -0.17510328  0.17654376 -0.01534303  0.08202283  0.13910023 -0.16139915 -0.04962990  0.10638851 -0.04340216  0.12832415  0.17237760 -0.13174312 -0.10529447
