# Shadow tomography log started 2020-01-31 05:17:23
# Dimension = 16
# True state = ( 0.16589388 -0.37611488  0.11856739  0.02310517 -0.16235400  0.39307848 -0.28211320 -0.23203222 -0.25315400  0.08428770  0.03820102  0.07088769  0.14063151  0.15200634 -0.03402948  0.06774425  0.03367787  0.13943354 -0.00643501 -0.08040340 -0.20094150  0.14414137  0.11068285 -0.22761958 -0.04905859  0.19174007 -0.02418557 -0.08436637  0.14910425  0.05478301 -0.18395567 -0.34289655)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  62566    4931    0.06714797 -0.02343188 -0.28569045  0.13167995  0.06565914 -0.12273467  0.03031476 -0.05670112 -0.37448463  0.12852017  0.16797492  0.30830948  0.16085782 -0.10785164  0.00444304 -0.23296061  0.31047687 -0.00840606 -0.23198929 -0.00778233  0.13477478  0.31222606  0.03927942  0.30351708 -0.16121913  0.03000477 -0.19895526  0.13319723 -0.15465074 -0.09508773  0.03603302  0.15005322
  63086    520     0.05478591 -0.15982392 -0.10861128 -0.13030380 -0.02309463 -0.18634980  0.11041191 -0.32841517  0.04657566 -0.22965641  0.33498530 -0.22315190 -0.19596437 -0.12345900 -0.37743334 -0.10063626 -0.15573800 -0.00106499 -0.04034212  0.01263706 -0.09664199 -0.02390010 -0.14704787  0.20724869 -0.00120013 -0.27148677  0.13362028  0.02740466  0.21502597 -0.17825336 -0.08544187  0.29337709
  63690    604     0.08473045  0.17603202  0.15977619 -0.00716349 -0.12808671 -0.12525944 -0.32805110 -0.12650813  0.17247310 -0.11366570  0.15063557  0.33424069  0.02234550  0.13277268 -0.09979862  0.16676023  0.24074222 -0.37295450  0.04689619 -0.00641088  0.03829174  0.07411413 -0.31285119 -0.09220000  0.14260775 -0.16648146  0.09745581 -0.21184462 -0.27023907 -0.21774638  0.10635098 -0.02746375
  77177    13487  -0.14623365 -0.09875052  0.04853343 -0.10753173 -0.15263426 -0.17080158  0.15087125 -0.09409594 -0.10032722  0.19163261  0.24498566 -0.03495881  0.24525656 -0.06461791  0.00639041 -0.15827673 -0.24422791 -0.21196916 -0.11647623 -0.12637127 -0.09570178 -0.43409260  0.17856686 -0.13084878 -0.08735702 -0.09866376  0.09502451  0.09802924 -0.44371646  0.03499020  0.22804601  0.08108928
  79285    2108    0.00053491 -0.29366351 -0.07017434  0.02495355 -0.07619703  0.09555730  0.03463676 -0.24824132 -0.23712733  0.21824352 -0.09845784  0.32484198  0.04817553  0.07671745 -0.31338071 -0.20379526 -0.24806258 -0.10285409  0.14122991  0.00478322  0.14587236  0.19639340 -0.27918162 -0.14100590  0.24696088  0.01882622 -0.17226740  0.13183472  0.18463929  0.10029012  0.24721672  0.00283613
  85300    6015    0.02040603 -0.21381735 -0.04224260 -0.24802891  0.19776913  0.14536439  0.02196261 -0.05799819  0.18504736 -0.22767904 -0.00170446 -0.28997404 -0.10559811  0.36715629 -0.06020208  0.13771863  0.17972520 -0.03836591  0.05692047 -0.26837462  0.08706966 -0.02292953 -0.05653737 -0.39871523  0.03463866 -0.35188942  0.12806390  0.04451912  0.01603769  0.15830022  0.19921267  0.00587376
  87252    1952   -0.33489623  0.04014253  0.09910285 -0.28094763  0.45183999  0.03425381  0.07120572  0.11714998 -0.08879146  0.04650491 -0.15466199  0.26919273 -0.12513841 -0.12191555 -0.08521853 -0.06949623 -0.01907407  0.12242469 -0.34693121 -0.03061378 -0.21917296  0.23726998  0.25076911 -0.02212322 -0.08874438 -0.15548953 -0.11583917  0.19344564  0.01811196 -0.03844417  0.05255454  0.18024283
  88009    757    -0.01554070 -0.05490572 -0.19228766 -0.18118204 -0.10170425  0.06323538  0.00147846  0.07665578 -0.09055664  0.13205499  0.11345907 -0.10416384 -0.07242546 -0.25910381  0.10192642  0.10665433  0.28080782  0.00677078 -0.10078744 -0.11973993  0.15280575 -0.28543502 -0.14060662  0.05418312 -0.09882264  0.25905979 -0.09744404  0.32762478  0.34199304  0.26757451  0.03092122  0.38609458
  89819    1810    0.28809850  0.07198941 -0.03079639  0.42488919  0.19780360  0.07176796  0.27110437 -0.22526123 -0.02295493 -0.08287729  0.22669547 -0.34867247  0.21927249 -0.02571435 -0.09670907 -0.12315395 -0.18189054  0.14620066 -0.25052759 -0.05011562  0.05093445  0.15585655  0.06116483 -0.01614041 -0.13242542 -0.11679164 -0.10487212  0.21307778  0.16357212 -0.10246126 -0.05666465  0.17186201
  89852    33     -0.16407290 -0.21248795 -0.00599994  0.22623270  0.17650028 -0.30138232  0.38370716  0.11879185 -0.18929807 -0.03907920  0.08459817 -0.05201853 -0.22241608 -0.27171072 -0.01877181 -0.05519810  0.15805380  0.15133763  0.26334038 -0.25943313 -0.12643093 -0.06873969 -0.04715924 -0.17643625  0.05937122  0.09943521 -0.01328972  0.05728733  0.04190403 -0.00423176 -0.10720445 -0.38823699
  100528   10676   0.03508650 -0.20763551 -0.03854658  0.32087727 -0.08588910 -0.14238827 -0.33008946  0.50084401 -0.08621821 -0.03221394  0.08150788 -0.05807018 -0.04109914  0.00572162 -0.16604998  0.11258516 -0.02654351 -0.23692390 -0.20980849  0.10400816 -0.12537531  0.17846533 -0.09660233 -0.13090939  0.14934594 -0.11379997  0.12015376  0.28324496 -0.16381089  0.14736073 -0.17452698  0.09303390
  107603   7075   -0.22051743 -0.25887015 -0.30684650 -0.01250938 -0.15468654  0.01412071 -0.01077809  0.07430323  0.13322181 -0.07197403 -0.11479737 -0.01883560  0.05472629  0.26497122  0.05004321 -0.26315387 -0.14041119  0.42557451 -0.01154335 -0.18467112  0.12010799  0.14326675  0.09327767  0.03572371 -0.04590722  0.34887072  0.29557345  0.11301617 -0.15141313 -0.10899193 -0.13792775  0.14520479
  111382   3779   -0.33889548 -0.13037564  0.04660514 -0.14594181  0.09708169  0.04882763 -0.11838872 -0.27734478 -0.12826452 -0.32191913  0.37845169 -0.06070245  0.15144416 -0.13841629  0.22001588  0.12821720 -0.14254451 -0.14530868  0.12365770  0.23195338 -0.08578533  0.12988128  0.04105516 -0.17568875  0.25037827  0.14710054  0.12693539 -0.04624136  0.16607372 -0.08571916 -0.21140464  0.13599412
  114344   2962    0.21688068 -0.06435831 -0.18048583 -0.23683797 -0.20230932 -0.05996426  0.18597041  0.00547909  0.11604789 -0.38135198 -0.02308591  0.18662361 -0.09923937 -0.37924043 -0.28914241 -0.04997241 -0.06120136  0.06319487 -0.06740376  0.00991874 -0.07184416 -0.10720992 -0.27136124  0.05424618  0.04140842 -0.27656242  0.18308311 -0.08277674 -0.02378017 -0.27381960 -0.10777653  0.18877569
  114598   254    -0.02861607  0.14441400 -0.25366856 -0.03454882 -0.12378375 -0.01337130  0.18010614 -0.01233285 -0.07111786  0.09054638 -0.36366393 -0.11898838  0.23823750 -0.00913646 -0.17989024  0.60608038 -0.09920206 -0.00383910  0.19390178 -0.05260851 -0.12556220  0.01536976  0.22383389 -0.12369428  0.15117978  0.06022351 -0.12510552  0.16710499 -0.05736127 -0.18788232 -0.05658640  0.07083183
  121281   6683   -0.04106020  0.07721926  0.05425637 -0.03447507 -0.05876652  0.19030343  0.10261205  0.03083486 -0.16768056 -0.04032337 -0.00983692  0.01928011 -0.01718963  0.30360565  0.15230958 -0.08352253  0.08558094  0.34063966 -0.02103586  0.43999465 -0.17505021 -0.33780785 -0.27914919 -0.13032190  0.10489084 -0.11905878 -0.19101652  0.33045754 -0.11697890 -0.12406888 -0.13867142 -0.08931497
  122970   1689    0.13521508 -0.27146419 -0.22686787 -0.22490504  0.25778041 -0.10398040  0.19811766 -0.03826008  0.06715544  0.26369886 -0.00169358 -0.21647549  0.05721671 -0.06203520  0.15198921  0.07710665  0.02344195  0.03788370 -0.26870321  0.17250344  0.11896218  0.09267400 -0.10885515  0.28683412  0.42246345 -0.02055765 -0.07261735 -0.16991651 -0.24199481  0.13588575 -0.09862637 -0.10154901
  130534   7564    0.09667485 -0.09382387  0.12655184  0.09399380  0.09632075 -0.45059020 -0.07413297  0.02649197  0.15635328  0.03645073  0.11611687  0.12438023  0.06916164  0.24612901  0.04003597  0.15668134 -0.08100377  0.29207978  0.05954202 -0.08883230 -0.38915574 -0.10326116 -0.15001241  0.02298740  0.11317023  0.05856830 -0.15181165 -0.24272542  0.15012252  0.03826312  0.18366240  0.38454141
  134622   4088   -0.22104539 -0.16701054 -0.06734931  0.11820250  0.05037340  0.17612883  0.05809016  0.07816615  0.39247803  0.27493538  0.05114194 -0.07341077  0.02349566 -0.11631796 -0.03149160 -0.04236359  0.16551648 -0.17786016  0.06037637  0.11512260 -0.01619463  0.09179399 -0.25277309 -0.28394315 -0.25914665  0.08479630 -0.29887506 -0.20066895 -0.15747114 -0.34017514 -0.05454871  0.17500169
  135291   669    -0.30536306  0.09373349 -0.07774758 -0.03280731  0.32682394 -0.03279771  0.12761616 -0.04985172 -0.14501169 -0.01691170  0.31946897 -0.20867399 -0.10380759  0.14227045 -0.26950159 -0.20907816  0.34370777 -0.04426044 -0.17483631 -0.22252937 -0.01958404  0.14048029 -0.04096502 -0.18181056  0.26117530  0.25464359  0.03564104 -0.01696139  0.13849331  0.07375033 -0.14043723 -0.12615827
  135758   467    -0.08471897  0.01588203  0.01954928  0.19539336 -0.25002872 -0.14101968  0.06962817 -0.17257179  0.02682601  0.03276904 -0.08759836 -0.03266184 -0.18573550  0.26428543  0.22085996  0.08120950  0.09460457  0.15968829  0.32240291  0.18683326 -0.01486584 -0.05960124 -0.12275400  0.02276357  0.06699248  0.11464819  0.02136303  0.08176465  0.48279664  0.43318525 -0.16700894  0.02566389
  142675   6917   -0.16088372  0.37328682  0.06523188 -0.18618857  0.01253604  0.08799106  0.02334174 -0.33775974 -0.09408747 -0.01389434  0.10225586 -0.15715595 -0.15486346 -0.07080020  0.09149421 -0.16462063 -0.20904834 -0.15093142  0.25178978  0.08794067 -0.28545988 -0.33361540  0.02878293  0.23742563  0.08772440 -0.07263750 -0.00079368  0.14650734 -0.20155834 -0.06591725 -0.03405717 -0.31063324
  153107   10432   0.13654480 -0.11377291  0.00563643 -0.10547309 -0.38908955  0.26690416 -0.13123093  0.15498895 -0.18776802 -0.04884263  0.13991243 -0.37612961 -0.15593494 -0.32522720 -0.13359098 -0.09402623  0.08067927 -0.02196875  0.12358618  0.06110800  0.24694732  0.07856481 -0.13089398 -0.21008892 -0.09332965 -0.21926930 -0.09043864  0.06275237  0.13339498 -0.03574064 -0.22328244 -0.21367576
  161150   8043    0.26498454  0.09431202  0.02683747 -0.21900815  0.18073073  0.18752482  0.18555313  0.18520538 -0.07929210 -0.07980871 -0.02135215 -0.01681510 -0.11331988  0.01740959  0.31289884  0.33637827  0.02301158  0.09087674  0.06949260  0.15158435 -0.20042196  0.30790527 -0.27243229 -0.07031969  0.30513674  0.02912303  0.22421671 -0.13762114  0.05114601 -0.14993579  0.12881763 -0.20604298
  161449   299    -0.03318370  0.30416658  0.01840591  0.21046481  0.08777280 -0.01200815  0.29006568 -0.29884474 -0.24089250  0.08778179 -0.01468053  0.12999386  0.10036887 -0.26817973  0.07680409 -0.00386351 -0.13509161  0.10975569  0.16468641 -0.01733600  0.00110481  0.10188143 -0.06027989 -0.48187839 -0.27363499  0.04455721 -0.02183510 -0.16496694  0.01216700 -0.17879035 -0.16345432  0.20584605
  164123   2674   -0.04467662  0.19464759 -0.44344372 -0.00205787 -0.03611020 -0.06315284 -0.00439326  0.01526187 -0.14392560 -0.23627391 -0.05988691 -0.02845586 -0.09601653 -0.29205378 -0.17706556  0.03495335  0.04666475  0.07217070  0.06218502  0.07136858 -0.04735750  0.19877650  0.00479456  0.48504551 -0.15902239  0.22589289 -0.19546496 -0.16162360  0.23963785 -0.10051423  0.19698440  0.09762323
  166920   2797    0.05630417 -0.18103342 -0.44536919  0.17997637 -0.14612256 -0.06000050 -0.03809936 -0.10643973 -0.16718743 -0.15552827 -0.07623418  0.32391790 -0.13874302 -0.03745680 -0.11557147 -0.21024288 -0.05402823  0.10275441 -0.17073293  0.03325551 -0.14525160 -0.23254065 -0.26532697 -0.15379058  0.26682998 -0.16274461  0.28643664  0.18693198  0.01412416 -0.16063198  0.02629406 -0.01298907
  167113   193     0.00291787  0.07086740 -0.25567246  0.28850203 -0.03809148  0.10755501  0.13800348  0.05538257  0.50811321  0.32413270  0.06896995 -0.15232641  0.08010021 -0.36058980  0.24025840 -0.08779507  0.21866510 -0.14704143 -0.06203752 -0.02108135 -0.19652224  0.13331608 -0.00035066  0.05665048  0.00510530  0.00712989  0.13826193  0.24974744 -0.02208485  0.00488098 -0.05109200  0.01185847
  170416   3303   -0.05386926 -0.07427491  0.00866774 -0.04845604 -0.08600383 -0.32914357  0.19227482  0.09738089  0.06430542 -0.08272665  0.44795202 -0.12776846 -0.26278783  0.03513358  0.11650173  0.24207104 -0.34571751  0.08801139 -0.04204575 -0.38932411 -0.01855485  0.02748237  0.00280814  0.09410275 -0.10507399 -0.16533694  0.08315107  0.18867042  0.12158115 -0.19257917 -0.04475233  0.17668179
  170548   132    -0.14983487 -0.22341808 -0.18071389 -0.10596414 -0.34143521  0.07714644  0.16277445 -0.14171060  0.18821666  0.09407117 -0.03721322  0.00615249 -0.01626618  0.29190755 -0.22123976 -0.00576830 -0.24165781 -0.27534408  0.21469175 -0.00830307 -0.18876976  0.35838871 -0.09927962 -0.19835560  0.04277506  0.14755648 -0.24089130 -0.03762715 -0.15730465 -0.08159802  0.15966984 -0.02986264
  177859   7311    0.18670921 -0.47555186  0.24196290 -0.01537245  0.04675097  0.01419001  0.20481012 -0.42333367 -0.15730002 -0.01657144 -0.06924924 -0.08154316  0.23756204 -0.21993356 -0.17137108  0.17528965 -0.01221210  0.02164130 -0.14816248  0.00702153 -0.21754116  0.07548190  0.05855401  0.21789488 -0.00238969  0.16399107  0.04677421  0.20032417  0.12962757 -0.01784233 -0.17618562 -0.10663844
  189134   11275  -0.10410986  0.11831934  0.24931906 -0.10322603 -0.16611750 -0.13741436  0.31215139  0.27723255  0.02546714  0.19719724 -0.15591447  0.06835653  0.03324988 -0.11112819 -0.28615083 -0.26381522 -0.07902668  0.38451020  0.15665483  0.10673414  0.12846145  0.14096928  0.00251319  0.19617557  0.29804971  0.05447822  0.13088264  0.13450885 -0.14971462 -0.08490337 -0.11538146  0.11518025
  192268   3134   -0.06100026  0.00316443  0.01973485  0.09352409 -0.27497944 -0.02830833 -0.00888991  0.08892160  0.18115994 -0.12994763 -0.09460341  0.07362991 -0.02259868 -0.12479106  0.07877011  0.16639660  0.00750805  0.06094243 -0.13272196 -0.26718933 -0.13642527 -0.22583524 -0.04287979  0.04078929  0.21560800  0.21190338 -0.18056567 -0.48241600 -0.13354648 -0.07679942 -0.46547160 -0.16022468
  193599   1331   -0.11740003 -0.23212429  0.02637134  0.21508812  0.16542009 -0.05895154 -0.02139362  0.04525748 -0.05946176 -0.04222979 -0.17744428 -0.42221909  0.07230394 -0.19670187 -0.01229925  0.01052964 -0.01511533  0.18045001  0.29347212 -0.21637703 -0.20009465 -0.15157887  0.02706034 -0.12293834  0.29494654 -0.22239191 -0.14743600 -0.15708239 -0.03684528  0.09954170  0.36215084  0.15131799
  201238   7639    0.00277382 -0.04581075 -0.02922590  0.00849630  0.25645251 -0.00961111 -0.06109494 -0.10343074  0.43015694 -0.00496881  0.05477850 -0.05045201 -0.08803917  0.13048362 -0.16223919  0.01961971  0.02039112  0.43523758 -0.02614537  0.33483459 -0.05847242 -0.08288399  0.05117198 -0.11926576 -0.07376143 -0.14385405 -0.32585802  0.02420258  0.17343040 -0.37980093 -0.08126719 -0.17599794
  203086   1848    0.02370886 -0.13626370 -0.01197415 -0.02286259 -0.09968776 -0.19532889  0.07425369 -0.30114037 -0.03388457 -0.30715509  0.26843372 -0.04092184  0.06882610 -0.03385370 -0.09526771  0.10318257  0.19068590 -0.28077379 -0.04802902  0.12181378  0.23146867 -0.17768889  0.06029525  0.00676471  0.32974905  0.30038908 -0.34247996 -0.00382965  0.16781162 -0.08124924  0.15118064  0.21451976
  206320   3234   -0.18799708 -0.08603100 -0.50534574 -0.04806865  0.02822949 -0.16605174 -0.01201314 -0.00268106 -0.06610584 -0.02562891 -0.13849802  0.08515716 -0.17479509  0.22960846  0.03997820 -0.01599985 -0.21109750 -0.32973414 -0.05799747 -0.09185196  0.00963596  0.02085786 -0.03037631  0.12182531  0.08432369  0.28120631 -0.05071624 -0.04917083 -0.24157443  0.30931086 -0.19206865 -0.30163380
  215019   8699   -0.17785287 -0.08412752 -0.18963941  0.24055811  0.52227813  0.25286844  0.07791833 -0.01437768  0.18156388 -0.07863593  0.06200691 -0.02084778 -0.20563210 -0.11053262  0.08784480  0.08316639  0.20761480  0.05430829  0.43910352  0.05282413 -0.08675305 -0.19586577  0.13648649  0.15053493  0.05834973 -0.00396877 -0.02007494  0.22263687  0.11779323  0.04491623 -0.11456890  0.02563277
  218436   3417    0.03537538  0.00071922  0.11639803 -0.22873301 -0.06783313  0.39411426  0.09038729  0.04488719 -0.16398389 -0.12148675 -0.28315220  0.10279786 -0.00939717  0.02382431  0.12925032 -0.03344870 -0.11071262 -0.10640242  0.27797852 -0.19790027 -0.14260898  0.40321008 -0.01372174 -0.16648770  0.22445054  0.28033966 -0.05889303  0.02320349  0.30240099  0.10089867  0.05936529  0.15143390
  223645   5209   -0.15685488  0.26127909  0.29081992 -0.02417621 -0.04203360 -0.09222124  0.03729294  0.08140323  0.07433496  0.11529124 -0.10283259 -0.13561647 -0.40523731  0.04596397  0.20259644  0.44419717 -0.07239494  0.18390495  0.09781243  0.02704116  0.37974771  0.02007703 -0.01063859  0.07013127  0.23634568  0.05033123 -0.07630195 -0.25576590 -0.01469497 -0.03918999 -0.01862077 -0.14309766
  230696   7051    0.33309539  0.29569825  0.14884732  0.06670261  0.29723065  0.16514869 -0.31515643 -0.06532372  0.10505936 -0.04596661 -0.17610305 -0.02657865  0.03097527  0.05390223  0.05578049  0.01219365 -0.06979493 -0.08163569 -0.37475990  0.20006802 -0.00181630 -0.06328251  0.09089005  0.15557017  0.07168496  0.39825632  0.18594968  0.23519006  0.02396993 -0.06191316  0.05858710 -0.11765399
  242418   11722   0.13529745 -0.09919183 -0.08853290  0.01591683 -0.04005106  0.07245949  0.45368306 -0.27087468 -0.20315284 -0.29889248 -0.10177743  0.07235165 -0.31697469 -0.14638874  0.06875759  0.20103478 -0.09909677  0.21676018 -0.34689844  0.03043005 -0.09626333 -0.09497965  0.17747905 -0.12287491 -0.02360166 -0.12759658  0.25024657  0.05518332 -0.03292494  0.17586725  0.07731587  0.03177808
  243645   1227    0.04548352  0.02378042  0.16767877  0.18896669  0.01754379  0.18139074  0.11178344 -0.07435396  0.05219819  0.27199839 -0.16138380  0.25677914 -0.14347954 -0.25188274 -0.00007255 -0.20670219 -0.15471343 -0.46426502 -0.00510930 -0.02656037 -0.01213985 -0.37406467  0.01038785 -0.00641798  0.02126142 -0.05443456  0.02769507 -0.42658000 -0.01037264 -0.05156550  0.00718396  0.13213649
  249800   6155   -0.12751272 -0.06430290 -0.06140309  0.26395797  0.13089995  0.12470033  0.19969143  0.08277459 -0.01426014 -0.10224836 -0.16416329 -0.16590558  0.17527634  0.10346648  0.21641279  0.04896669  0.06485420  0.03326266 -0.23409899  0.12813137 -0.28747185  0.21655934 -0.14071358  0.09877208  0.18427517 -0.00696155 -0.23063968 -0.22558005 -0.37206548 -0.35592538 -0.00671978  0.17911527
  252591   2791   -0.12357996 -0.06580046  0.12233255 -0.03218336 -0.24454932  0.13931915  0.03502073 -0.14243703  0.26214071  0.13754962  0.00483946 -0.00216739 -0.14284489  0.14062009 -0.31391081 -0.19163352  0.37064920  0.04210294 -0.11681706 -0.11231296 -0.19966265  0.11537602  0.18557009  0.24436059  0.44344893 -0.08245552  0.18840402 -0.01365507 -0.05019561  0.06184929  0.05506226 -0.19828319
  255799   3208   -0.09095300 -0.32648158  0.18142902  0.19497882 -0.10416748  0.02270864 -0.15612789  0.12044166 -0.21238038 -0.06793537 -0.32376414  0.42832243  0.01023770  0.10949034 -0.16731265  0.20365304  0.10758556  0.09941254 -0.03317743 -0.15406630  0.07814600 -0.10875501  0.27797150  0.08492406 -0.18943304  0.07912621 -0.22639569  0.13099495 -0.01913546 -0.25068111 -0.04473788 -0.14110951
  259657   3858    0.07852071  0.12493976  0.09634576  0.01301201 -0.08285331  0.09981387 -0.14200424 -0.22087472 -0.06889036 -0.27347234 -0.02410167  0.14780438 -0.14959057  0.02902665 -0.29192484  0.00040784  0.01326105  0.06563856  0.19227986 -0.02706441  0.08010373 -0.05838161 -0.47265878 -0.02826558  0.09154161  0.00834507  0.15991272  0.10134483 -0.34024260 -0.10296012 -0.42570056  0.21094193
  261079   1422    0.13327817  0.12367665 -0.21044092  0.22536385 -0.18380290  0.18633012  0.01087989  0.20148678  0.02514059 -0.05801283  0.20527374  0.04158147 -0.26943856  0.32548466 -0.05777152 -0.17844952 -0.06616632 -0.03292502  0.18817070  0.11820207  0.23748482  0.10976888  0.29107621 -0.15643295 -0.09298420  0.07358340  0.11126472  0.01393328 -0.26241007 -0.16304977  0.33678798  0.18186311
