# Shadow tomography log started 2020-01-14 05:35:58
# Dimension = 16
# True state = (-0.01368351  0.08298799  0.31013530  0.05415421 -0.04716125 -0.36927067 -0.27572506 -0.08145328  0.19790431 -0.02259635  0.35722066  0.00981079  0.13155062  0.07559725  0.21713843  0.06203123  0.25206411 -0.01016464 -0.00354999  0.12071034 -0.06863492  0.00802327  0.19277117 -0.21116087  0.02150632  0.21004151 -0.05133267  0.08808471  0.23186726  0.28468726 -0.15257532  0.23099305)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  258264   5816    0.02217691  0.22176123  0.11856915 -0.21404477  0.15084556 -0.14737723  0.05124807  0.05355960  0.15370075  0.02272987  0.09836805  0.03448808 -0.06871024  0.18210493  0.18187651 -0.03232361  0.12839711  0.09904977 -0.30700122 -0.35446573 -0.18990378  0.13295096  0.18682131 -0.20224988  0.33689129 -0.13350759 -0.16210486 -0.19033135  0.29240476 -0.07140905 -0.03304317 -0.26873555
  267344   9080   -0.27937662  0.06501360 -0.02543977  0.30688546 -0.05346679 -0.02437551  0.04233382 -0.12954525 -0.31039989 -0.22429876  0.15380911  0.25332171 -0.11841188 -0.07032583 -0.04212525  0.03546994  0.28037842 -0.17761221 -0.11475343  0.02273761  0.28291734  0.03965306  0.08569123  0.19240101  0.28367914 -0.14257965 -0.34247123 -0.15563181 -0.01347369  0.05992386  0.11983886  0.18471213
  277450   10106  -0.02878590  0.34593402 -0.27570652 -0.21686939 -0.02522697  0.29320693 -0.27547386 -0.15028364  0.27517479 -0.08356860  0.05901963  0.14405406  0.12749015 -0.36706191  0.21384807 -0.09397876  0.01709261  0.04859480  0.01243505  0.04231604  0.20910819  0.06571239  0.28163323  0.17648585 -0.09006061 -0.06730535  0.06519711  0.12896134  0.16046606  0.16570704 -0.09239541 -0.02259293
  281249   3799    0.02500444  0.16947116  0.10202833  0.32783137 -0.11811812 -0.42704114 -0.00157806 -0.00328589  0.20833390 -0.33099050 -0.00507940  0.01871364  0.17057535  0.00249736 -0.09755226  0.03563721 -0.47182854 -0.13885157  0.19506369 -0.11557116  0.11177492  0.30457743  0.08734850  0.00009310 -0.10707191 -0.06306109  0.02958760 -0.05258900  0.10642875  0.04121930  0.08688389 -0.13176916
  290206   8957   -0.01359083 -0.19116673 -0.05776509 -0.23115032  0.12780135 -0.22723680 -0.01395584  0.08011200 -0.27316334 -0.31231933  0.04626057 -0.12122866  0.23023575  0.22233178  0.31527376  0.25766335  0.15843193 -0.07668398  0.10696982  0.09222890  0.09505979  0.01794506  0.41887394  0.01087339  0.09459645  0.09027586  0.25306596  0.19136956 -0.14025882  0.00303693 -0.00001938 -0.03726243
  312296   22090  -0.13522409 -0.24133327 -0.13169176  0.01615758  0.12679847 -0.09342345  0.07198110 -0.03883807  0.14683994  0.24893933  0.06439183 -0.06028795  0.21360750 -0.08574433 -0.03112395  0.18366957 -0.06089559 -0.21989727 -0.12815807 -0.08916994  0.36629078 -0.26049639  0.05229876  0.09288108 -0.11404809  0.32744316 -0.16251568 -0.10412201  0.32317090 -0.34621565 -0.07113779 -0.13676271
  339446   27150  -0.02430730 -0.02910150  0.00673535 -0.36269224 -0.15518244 -0.09971942  0.17124739  0.06754974  0.07626256 -0.24016562  0.02103382  0.14873690 -0.03433013  0.21019323 -0.03968359  0.19701299  0.25710870  0.27634849 -0.12156139 -0.15242465 -0.24366342  0.00322771 -0.03994926 -0.08227464  0.22429740  0.10743975 -0.08024987  0.17506254  0.17835588 -0.07692709  0.12048813 -0.47731655
  340530   1084    0.21627974 -0.05946108  0.19343935 -0.12344764  0.18620942  0.07119300 -0.33653660  0.03483007 -0.28265014 -0.38108009 -0.18308976 -0.21642052 -0.14270421  0.03355362 -0.02118565  0.16635776  0.09313061 -0.19662407  0.04891703 -0.23564405  0.34315558  0.18344999  0.07390160  0.04118357 -0.02896366  0.14118141  0.13340358  0.05971948  0.10458519 -0.24806928  0.09638614 -0.00260582
  393257   52727   0.19725635 -0.03978990  0.12699069  0.00225907 -0.16567474  0.07858099 -0.33175898 -0.10920977 -0.01892424  0.01434373 -0.06015144 -0.35886273  0.14766135  0.04145774  0.23062786  0.18762078  0.02484452  0.28065401 -0.09689120  0.14584249 -0.22878867 -0.27761899  0.17978942  0.33297707  0.31743506  0.02534579 -0.07306644  0.03373469 -0.16960996  0.05630235 -0.07600642  0.12094684
  396402   3145   -0.14514391 -0.61352133  0.01846147 -0.00473099  0.22847710 -0.06996073 -0.16721176 -0.12598171  0.38508398 -0.11258469  0.20135262 -0.00354251  0.01938935 -0.01077670  0.33374453  0.05420926 -0.10022305  0.01624679  0.02902584  0.07253151  0.09431152  0.01657891 -0.00477531 -0.25783942 -0.02355970  0.20721152 -0.03306715  0.01053236 -0.00366370 -0.01071382 -0.21053594 -0.06051901
