# Shadow tomography log started 2019-12-30 13:53:05
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  980580   35729   0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  1067413  86833   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  1128056  60643   0.70710677  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000
  1251232  123176  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000 -0.00000000 -0.70710677
  1266689  15457   0.50000000  0.00000000  0.00000000  0.50000000  0.50000000  0.00000000 -0.00000000 -0.50000000
  1269358  2669    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.50000000  0.00000000
  1298478  29120   0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  1313725  15247   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.50000000 -0.00000000
  1397120  83395   0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000  0.50000000 -0.00000000
  1455045  57925   0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000
  1522623  67578   0.50000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000
  1526729  4106    0.50000000 -0.00000000 -0.00000000 -0.50000000  0.50000000 -0.00000000 -0.00000000  0.50000000
  1586676  59947   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  1638977  52301   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  1654327  15350   0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  1776961  122634  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000 -0.70710677
  1907216  130255  0.50000000  0.00000000  0.00000000  0.50000000 -0.50000000  0.00000000  0.00000000  0.50000000
  1965713  58497   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.00000000
  1998950  33237   0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  2067576  68626   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000
  2149759  82183   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  2165289  15530   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  2188232  22943   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  2201103  12871   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000
  2206377  5274    0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.70710677
  2267871  61494   0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000
  2342805  74934   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000
  2376702  33897   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  2484715  108013  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.50000000  0.00000000
  2543435  58720   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000  0.50000000  0.00000000
  2559645  16210   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  2575534  15889   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  2616708  41174   0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  2622774  6066    0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000
  2637324  14550   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.50000000 -0.00000000
  2723942  86618   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  2741363  17421   0.50000000  0.00000000  0.00000000  0.50000000  0.50000000  0.00000000  0.00000000  0.50000000
  2756597  15234   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  2763896  7299    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  2825384  61488   0.70710677  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000
  2951394  126010 -0.00000000  0.00000000  0.70710677 -0.00000000 -0.00000000  0.70710677 -0.00000000  0.00000000
  2954137  2743    0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  2962232  8095    0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677
  3001729  39497   0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.50000000 -0.00000000 -0.00000000  0.50000000
  3086977  85248   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  3089949  2972    0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  3096598  6649    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  3111673  15075   0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  3114365  2692    0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  3122113  7748    0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677
  3125143  3030    0.70710677  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  3140210  15067   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  3163588  23378   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  3190718  27130   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.50000000  0.00000000
  3250692  59974   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000  0.50000000  0.00000000
  3269542  18850   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  3347454  77912   0.50000000  0.00000000 -0.00000000 -0.50000000  0.50000000  0.00000000 -0.00000000 -0.50000000
  3449266  101812  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  3481471  32205   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.50000000 -0.00000000 -0.00000000 -0.50000000
  3490943  9472    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000  0.50000000 -0.50000000  0.00000000
  3507265  16322   0.00000000  0.00000000  0.70710677  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000
  3520492  13227   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000
  3606924  86432   0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.50000000  0.00000000
  3685663  78739   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000
  3689554  3891    0.50000000  0.00000000 -0.00000000 -0.50000000  0.50000000  0.00000000  0.00000000  0.50000000
  3699295  9741    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000  0.50000000 -0.50000000  0.00000000
  3714594  15299   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  3751833  37239   0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  3761490  9657    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000  0.50000000 -0.50000000  0.00000000
  3800347  38857   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  3816036  15689   0.50000000  0.00000000  0.00000000  0.50000000  0.50000000  0.00000000 -0.00000000 -0.50000000
  3887039  71003   0.50000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000
  3936483  49444   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000
  3996611  60128   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000  0.50000000 -0.00000000
  4040692  44081   0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  4120124  79432   0.50000000  0.00000000  0.00000000 -0.50000000  0.50000000  0.00000000  0.00000000 -0.50000000
  4228925  108801  0.50000000  0.00000000  0.00000000  0.50000000 -0.00000000 -0.50000000 -0.50000000  0.00000000
  4265590  36665   0.70710677 -0.00000000 -0.00000000  0.70710677 -0.00000000  0.00000000 -0.00000000  0.00000000
  4272867  7277    0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677
  4291004  18137   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  4415636  124632  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  4498099  82463   0.70710677  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000
  4501099  3000    0.70710677  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  4518735  17636   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  4602047  83312   0.70710677  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000
  4611564  9517    0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.50000000  0.00000000
  4670137  58573   0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000
  4702160  32023   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000
  4788920  86760   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  4838144  49224   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000
  4860783  22639   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  4901831  41048   0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.50000000 -0.00000000 -0.00000000  0.50000000
  4988212  86381  -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000
  5029228  41016   0.50000000  0.00000000 -0.00000000 -0.50000000 -0.50000000  0.00000000  0.00000000  0.50000000
  5105935  76707   0.50000000  0.00000000 -0.00000000 -0.50000000  0.50000000  0.00000000 -0.00000000 -0.50000000
  5196633  90698   0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000
  5228703  32070   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000
  5236322  7619    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  5259701  23379   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677
  5273195  13494   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000
  5331524  58329   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  5381149  49625   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000 -0.00000000 -0.50000000
  5398150  17001   0.50000000 -0.00000000 -0.00000000  0.50000000  0.50000000 -0.00000000 -0.00000000  0.50000000
  5404214  6064    0.50000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000
  5409663  5449    0.50000000  0.00000000  0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000
  5470504  60841   0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000
  5553331  82827   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  5635798  82467   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  5668144  32346   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000
  5686547  18403   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  5745564  59017   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.00000000
  5825701  80137  -0.00000000 -0.00000000 -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.70710677 -0.00000000
  5831179  5478    0.50000000  0.00000000  0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  5917425  86246   0.00000000  0.00000000  0.70710677  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000
  6000757  83332   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000
  6006319  5562    0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.70710677
  6035647  29328   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.00000000
  6094407  58760   0.50000000  0.00000000 -0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  6183097  88690   0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000
  6221160  38063   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  6252713  31553   0.50000000  0.00000000  0.00000000  0.50000000 -0.50000000  0.00000000  0.00000000 -0.50000000
  6299263  46550   0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000
  6360578  61315   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  6409644  49066   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000
  6424698  15054   0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  6461182  36484   0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  6509859  48677   0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.50000000  0.00000000
  6515846  5987    0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000
  6565513  49667   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000
  6569003  3490    0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000
  6651051  82048   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000
  6677246  26195   0.50000000  0.00000000  0.00000000  0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  6680532  3286    0.70710677  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  6683264  2732    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.50000000  0.00000000
  6723553  40289   0.50000000  0.00000000  0.00000000 -0.50000000 -0.50000000  0.00000000  0.00000000  0.50000000
  6725430  1877    0.50000000  0.00000000  0.00000000 -0.50000000 -0.50000000  0.00000000  0.00000000 -0.50000000
  6757331  31901   0.50000000  0.00000000  0.00000000  0.50000000 -0.50000000  0.00000000  0.00000000 -0.50000000
  6808934  51603  -0.00000000  0.00000000  0.70710677 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.70710677
  6826330  17396   0.50000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.00000000
  6885975  59645   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000  0.50000000  0.00000000
  6919709  33734   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  6953226  33517   0.70710677 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.00000000 -0.00000000  0.70710677
  6957324  4098    0.50000000  0.00000000 -0.00000000 -0.50000000  0.50000000  0.00000000  0.00000000  0.50000000
  6992204  34880   0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  7009452  17248   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  7028148  18696   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  7088593  60445   0.70710677  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000
  7092177  3584   -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000
  7106441  14264   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.50000000  0.00000000
  7111945  5504    0.50000000  0.00000000  0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  7146390  34445   0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  7180164  33774   0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  7279767  99603   0.50000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.00000000
  7340955  61188   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000 -0.00000000
  7346339  5384    0.50000000  0.00000000  0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000
  7397317  50978   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  7412239  14922   0.70710677  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  7444258  32019   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000
  7479516  35258   0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  7505273  25757   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.50000000  0.00000000
  7591829  86556  -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000
  7606931  15102   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  7610238  3307    0.70710677  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  7623247  13009   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000
  7662273  39026   0.70710677 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.70710677 -0.00000000  0.00000000
  7668080  5807    0.50000000  0.00000000  0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  7673360  5280    0.50000000  0.00000000  0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  7756975  83615   0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000  0.50000000 -0.00000000
  7758729  1754    0.50000000  0.00000000  0.00000000 -0.50000000 -0.50000000  0.00000000  0.00000000 -0.50000000
  7796640  37911   0.70710677 -0.00000000 -0.00000000  0.00000000 -0.00000000  0.70710677 -0.00000000  0.00000000
  7800041  3401    0.70710677  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  7825583  25542   0.50000000  0.00000000  0.00000000  0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  7858612  33029   0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  7861363  2751    0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000  0.50000000  0.00000000
  7991102  129739  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.50000000  0.00000000 -0.00000000  0.50000000
  8023095  31993   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000
  8108532  85437  -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000
  8209952  101420  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  8295976  86024   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  8382452  86476   0.50000000  0.00000000  0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000
  8509574  127122  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  8550577  41003   0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  8626162  75585   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000
  8639476  13314   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000  0.50000000  0.00000000 -0.50000000
  8680031  40555   0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.50000000  0.00000000 -0.00000000  0.50000000
  8770787  90756   0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000  0.00000000  0.00000000
  8777675  6888    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  8856995  79320   0.50000000  0.00000000  0.00000000 -0.50000000  0.50000000  0.00000000  0.00000000 -0.50000000
  8938313  81318   0.70710677  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000
  9024488  86175   0.00000000  0.00000000  0.70710677  0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000
  9063385  38897   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  9092876  29491   0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  9139106  46230   0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000
  9141006  1900    0.50000000  0.00000000  0.00000000 -0.50000000 -0.50000000  0.00000000  0.00000000 -0.50000000
  9175966  34960   0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  9194148  18182   0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000
  9203663  9515    0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000  0.50000000 -0.50000000  0.00000000
  9212241  8578    0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677
  9257614  45373   0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  1.00000000  0.00000000
  9316600  58986   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  9422474  105874  0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000 -0.50000000 -0.50000000  0.00000000
  9431985  9511    0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000  0.50000000 -0.50000000 -0.00000000
  9491853  59868   0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000
  9499288  7435    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  9530970  31682   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000
  9589736  58766   0.50000000  0.00000000  0.00000000  0.50000000  0.00000000  0.50000000  0.50000000  0.00000000
  9593299  3563    0.70710677  0.00000000 -0.00000000 -0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  9671075  77776  -0.00000000 -0.00000000 -0.00000000 -0.00000000  0.70710677 -0.00000000 -0.70710677 -0.00000000
  9769203  98128   0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  9789291  20088   0.70710677 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
