# Shadow tomography log started 2019-12-30 13:53:05
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  19234    19234   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  77461    58227   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000
  92366    14905   0.50000000 -0.00000000 -0.50000000  0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000
  98339    5973    0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000
  133515   35176   0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  171913   38398   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000
  193657   21744   0.70710677 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
  230526   36869   0.70710677 -0.00000000 -0.00000000  0.70710677 -0.00000000  0.00000000 -0.00000000  0.00000000
  314314   83788   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000 -0.00000000 -0.00000000
  374214   59900   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000  0.50000000 -0.00000000
  402935   28721   0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000  0.50000000  0.00000000
  463218   60283   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  498926   35708   0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000
  561159   62233   0.00000000  0.00000000  0.00000000  0.00000000  0.70710677  0.00000000  0.70710677  0.00000000
  620951   59792   0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000 -0.50000000  0.00000000
  680402   59451   0.50000000  0.00000000 -0.50000000  0.00000000  0.00000000 -0.50000000  0.00000000 -0.50000000
  697224   16822   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000 -0.70710677  0.00000000  0.00000000
  703109   5885    0.50000000  0.00000000  0.50000000  0.00000000  0.50000000  0.00000000 -0.50000000  0.00000000
  710227   7118    1.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000
  725713   15486   0.50000000 -0.00000000 -0.00000000  0.50000000 -0.00000000  0.50000000 -0.50000000  0.00000000
  760186   34473   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  817668   57482   0.50000000 -0.00000000 -0.50000000 -0.00000000 -0.00000000 -0.50000000 -0.00000000 -0.50000000
  855185   37517   0.70710677  0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000  0.00000000
  887839   32654   0.70710677 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.70710677 -0.00000000
  921218   33379   0.70710677  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.70710677
  944851   23633   0.00000000  0.00000000  0.70710677  0.00000000  0.00000000  0.00000000 -0.00000000 -0.70710677
