# Shadow tomography log started 2020-01-30 21:01:55
# Dimension = 16
# True state = ( 0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000  0.25000000  0.00000000)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  660      660     0.11048074  0.22133056 -0.29247259 -0.00420798  0.00292940  0.27449063 -0.05012838  0.03006533  0.03434779 -0.22814560 -0.12894431 -0.15159829  0.20180105 -0.18910506  0.12602664 -0.04733833  0.24130143 -0.29893611 -0.01666577 -0.03586847  0.35392343  0.16272572 -0.29407319 -0.17031074 -0.28319481  0.02657804  0.20695857 -0.13444110 -0.13792924  0.00146753 -0.09713715  0.01943166
  1695     1035   -0.09939876 -0.01700699 -0.34884808  0.14428548  0.15413410 -0.05635441 -0.49230857  0.00227676 -0.07643482 -0.08543483  0.16421891 -0.02029963 -0.01830550  0.09650440  0.16161402 -0.37775696 -0.03077419  0.10940522  0.06294405 -0.10626030 -0.04733111  0.13547070 -0.14364890  0.10308959  0.02992381 -0.18488519 -0.02329431  0.21914803  0.23013727  0.20983632  0.28387554  0.13330945
  6772     5077    0.03849217 -0.20540765 -0.26324914 -0.14491093  0.16834355  0.22216285  0.10732965 -0.09305945  0.06353120 -0.00616565 -0.18270678 -0.33051268 -0.21573802  0.04928029 -0.15660619 -0.12662212  0.22645121  0.12049128 -0.03903044 -0.10772888 -0.17767699  0.13126657  0.05223536  0.39702962 -0.08792246  0.05098492 -0.21039429  0.03955248 -0.02229641  0.07508001 -0.27545971 -0.32506308
  6830     58     -0.18685655 -0.07406091  0.24137028 -0.29846844 -0.16167707  0.17734735 -0.15331529  0.20414217 -0.19767554 -0.31319105  0.07514657  0.01985961 -0.08671126  0.35191035  0.16588958 -0.03278042 -0.11148397 -0.38689878 -0.08267336 -0.02690157  0.08693835  0.01950221  0.00808998  0.18718791  0.21173691  0.15201083  0.15873150  0.13794871 -0.03166150  0.05102151 -0.05075327 -0.23507007
  21777    14947  -0.16226994  0.31894023  0.08804444 -0.02163931 -0.06398380 -0.19688290  0.04326202 -0.04627170 -0.35692260  0.19149902 -0.21949713  0.07154788  0.03706434 -0.16854778  0.21705823 -0.10513066  0.06129606 -0.09932167 -0.13447014  0.28762856 -0.34418441  0.28429367  0.00779712  0.05892003 -0.22444875  0.17848444 -0.08699733  0.01156854 -0.10661158  0.23545821  0.12141097 -0.15102113
  23962    2185    0.02961733 -0.00282931  0.05326890  0.03493082  0.04272145  0.00423506 -0.22980561  0.26708590  0.20305698  0.13042588 -0.12579531  0.08011780 -0.15605760 -0.19903079 -0.03189304  0.00716993  0.13377969 -0.07370679 -0.10758810  0.10985706 -0.07534382 -0.28734085  0.03698533 -0.18895343  0.15319782 -0.38638965  0.14948058  0.04912884 -0.16702999  0.48478369 -0.19686150 -0.22818146
  29063    5101   -0.12848362 -0.23324240 -0.04362553  0.34511773 -0.06997528  0.32025569  0.09290921  0.08293870 -0.12967861  0.17607474  0.12921950  0.00105503 -0.08396752 -0.23372765  0.09328429 -0.01133488  0.09911570 -0.06495793  0.02515397  0.15207133 -0.31993289  0.16321963 -0.22417719  0.03453903  0.31446593  0.02293768  0.28879679  0.12575915 -0.03909086 -0.27162035 -0.18059125  0.15900099
  34675    5612   -0.44000021  0.10722147 -0.25919378  0.10620999 -0.19162595  0.18248344 -0.11101992 -0.12915307  0.05829523  0.22324754  0.15116581 -0.24536473 -0.15267609  0.03025022 -0.30354615  0.34564628 -0.24182349 -0.22319032  0.05164507  0.14305567  0.04703749 -0.15081047 -0.06948836 -0.05368166 -0.14875242  0.07981596 -0.10407141  0.01964283  0.06285695  0.10859646  0.13707216 -0.08334533
  48873    14198  -0.13281018  0.14143852 -0.19032457 -0.06820800  0.11648793  0.09949397 -0.15085048  0.02951169  0.28633351 -0.25577902 -0.10322268  0.35005262  0.03679164 -0.01928788 -0.25364911 -0.19668781  0.00782152 -0.11117723  0.03982517  0.13866255 -0.33212472 -0.00369902  0.07307062 -0.08471781  0.18730973  0.10107542 -0.05530077 -0.36334772 -0.03718665 -0.29039959  0.18598847 -0.17965288
  50007    1134    0.01089054  0.21807236 -0.16784736 -0.21800425 -0.05899713  0.12669438  0.14647137  0.22276897  0.01689888  0.05844274 -0.17816371  0.33545746 -0.13800304  0.05457412 -0.12833928  0.24372884  0.14333820  0.16810017 -0.30133326  0.08785339  0.16252350  0.02085831 -0.26106435  0.32026034  0.10764743 -0.15114946 -0.07999556  0.22059091 -0.01770255 -0.05104901  0.22934850  0.22413086
