# Shadow tomography log started 2020-01-30 02:46:15
# Dimension = 32
# True state = ( 0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15        re16        im16        re17        im17        re18        im18        re19        im19        re20        im20        re21        im21        re22        im22        re23        im23        re24        im24        re25        im25        re26        im26        re27        im27        re28        im28        re29        im29        re30        im30        re31        im31
  21289    3397    0.08285997  0.06567278  0.13352403 -0.24407668  0.03930399 -0.27331448  0.07979723 -0.12490014 -0.11386600 -0.09147325 -0.04836746 -0.12650639  0.10614698 -0.03788999  0.13228830 -0.03094844  0.03233452 -0.17161680  0.06548894 -0.00050366 -0.18876643 -0.18150679 -0.02593156 -0.26071352  0.05710862  0.18992548  0.11621480 -0.20526806 -0.08240402  0.00432561  0.10559033  0.10155415  0.09693207  0.10809096  0.19327784  0.14633209 -0.15867225  0.13667860  0.32968203 -0.08979847 -0.12703936  0.02154158 -0.03181639 -0.15520899 -0.10138689 -0.11507451 -0.08817163  0.02280663  0.14448043  0.11021127 -0.07134788 -0.08725391 -0.00559368  0.05270562  0.04680964 -0.01371235 -0.13036914 -0.07718837  0.20832415 -0.03327803  0.04417581 -0.02561187  0.03930523  0.10299087
  21393    104     0.03552191  0.05934796  0.03749794 -0.05285111  0.13748741  0.02867246 -0.09736311  0.09950433  0.00663103 -0.11309289 -0.18797752 -0.01183935  0.02058093 -0.14036338  0.03685379 -0.02338648 -0.07636500 -0.19883850 -0.03937373  0.14012057 -0.04152366 -0.16232564 -0.04801845 -0.04311599 -0.09973660 -0.02291558 -0.07360568  0.06499208 -0.00284737 -0.13722689 -0.07083642  0.14191702  0.11613103 -0.18363637  0.00182512  0.02536438  0.15455561 -0.02403020 -0.20027190  0.02365945  0.11108907  0.01780381 -0.23239052 -0.06805545  0.14597831 -0.29627543  0.20677522  0.04926605  0.05691930 -0.18715018 -0.31109143 -0.20355558  0.08396993 -0.14900780  0.02041787  0.26408479 -0.04219827  0.13918046  0.04700061  0.16458602 -0.14038689  0.06661054 -0.16745480  0.03983353
  21719    326     0.09698874  0.15509062 -0.11679121  0.05150879 -0.07215962 -0.02080644  0.03817901  0.15561500 -0.07258926 -0.25549412  0.01801732 -0.02932605  0.06835785  0.01366626  0.04755404  0.06422380  0.11602844 -0.03725806 -0.00669368 -0.07594894  0.10910261  0.16531035 -0.20669638  0.06053617  0.20357320  0.30603215 -0.07686737 -0.05928389  0.01169620  0.27087492 -0.21710861 -0.03340360 -0.03040568  0.00199880 -0.23297242  0.00761621  0.02595807  0.14276215  0.00994093  0.16194063 -0.07597052  0.22143434  0.04022393 -0.27800510 -0.05103960 -0.20068614  0.02223205  0.14330006 -0.07887241 -0.02989166  0.14175006  0.16965286  0.13310706 -0.13122725  0.15856464  0.06611275  0.13171053  0.03647963  0.03733113  0.08590816 -0.05022116  0.08267003  0.06863253 -0.03421510
  24515    2796    0.33809476 -0.06323604  0.07825194 -0.06787825 -0.09447108  0.11878082 -0.13002926 -0.05084120 -0.22513112 -0.09255334  0.11191259 -0.02539630 -0.07217465 -0.11636100  0.02452548 -0.01756490  0.05754998  0.12050667  0.03888986 -0.07575742 -0.07295039  0.03613444  0.01404619  0.01791994  0.04030806 -0.22758763  0.24948845  0.18688051  0.10865474 -0.00113864  0.12446210 -0.26184530 -0.12839844 -0.01846261  0.01549538 -0.14420688 -0.01213353 -0.02066895 -0.03892447  0.00789834 -0.09830015 -0.04672643  0.12574853 -0.23872509 -0.19950942 -0.03414251  0.04555201 -0.04178692 -0.03126883  0.17762999 -0.06957071 -0.04848769  0.15809304 -0.04037848 -0.28466958  0.21482845 -0.07941567 -0.01786250  0.06911775  0.09667558 -0.05186133  0.24250714 -0.05797488  0.09528143
  26474    1959   -0.15457290 -0.23655613  0.02486736 -0.19690543 -0.03486529 -0.08344499 -0.17415025 -0.03950463  0.14429640 -0.22895564 -0.05131781 -0.12937863  0.23096211  0.02743767  0.03404701 -0.11935052  0.13107838  0.20179762 -0.05045356  0.03743763  0.00414439 -0.13140875 -0.07081519  0.23067630 -0.09636264 -0.10550223 -0.05941518  0.10265101 -0.04325726  0.15606094  0.00904898 -0.03910085 -0.05560639  0.01702127  0.25008304  0.04136490  0.16541575  0.04667691  0.18211408  0.12706689  0.02881031 -0.04402135  0.09871292 -0.07159816 -0.07492350  0.02671595  0.35632620 -0.09470463  0.09488045  0.09762695  0.04373742  0.15938290  0.02827381  0.03823621  0.17307524  0.06063406  0.02352796  0.12764296 -0.08947979 -0.02768976  0.05114612 -0.15445547 -0.17933988 -0.08065669
  29381    2907    0.08243551 -0.04230789 -0.01374615 -0.11139935 -0.06833516  0.26972154  0.33988220 -0.01182909  0.20621658 -0.11858244 -0.07674498 -0.06261841  0.11803409  0.12504315 -0.08538615 -0.12638750  0.00281313  0.25030919 -0.15079747  0.24277077  0.04710831  0.01653662 -0.07266506  0.02386710  0.05152115  0.17879099  0.14950944 -0.05961706 -0.01963528  0.13492757  0.07534193 -0.00499429  0.00225407  0.13368980 -0.03423079 -0.10741832  0.06486058  0.07333790 -0.12761493 -0.10287094  0.13692628  0.04564145 -0.14517354 -0.03622403 -0.01758378  0.04866404 -0.06987262 -0.20676963 -0.09714190  0.09300889 -0.17825087 -0.20387707 -0.08178113  0.16816760 -0.05141681 -0.09074460  0.03179382  0.18071233  0.21873204  0.19668626  0.04914649  0.00492625  0.09226725 -0.00235540
  31780    2399    0.11344846  0.18640029  0.14430439 -0.06377094 -0.27532592  0.01127939  0.07145955 -0.01527099  0.00354444  0.16499258  0.19776681 -0.07980020 -0.24246750  0.03416298 -0.12757251  0.18869745  0.04940425  0.01134631 -0.08271128  0.01493419 -0.08508759 -0.01023880  0.06578107  0.10291362 -0.09122389  0.02124873 -0.05411643 -0.24676290  0.10939971  0.05572085 -0.08592701  0.15099070  0.06388506  0.13850273  0.17725516 -0.08587671 -0.08447518 -0.04502315  0.00984952  0.21682136 -0.00630320  0.22731843 -0.04439013  0.18011291 -0.02710716  0.01515412  0.12035846  0.02185155  0.20098375  0.05934830 -0.12014476  0.10154051  0.13593211  0.00975331 -0.13283452 -0.05442693  0.21108923  0.13366064  0.08444321  0.02704983 -0.09216688  0.00330987 -0.31963857 -0.05232499
  32922    1142   -0.09405574 -0.02857625  0.02396196 -0.15915818  0.00110157 -0.04765254 -0.04058045  0.16488432 -0.22372648 -0.09009950  0.18095192  0.00677969  0.06108593  0.19735305  0.12999312 -0.03344152 -0.15257221 -0.00744755  0.16465848  0.16971566  0.09627970  0.03279634 -0.07645466  0.24030201 -0.00452083 -0.03965742  0.12420800 -0.10552350 -0.02277219 -0.30146397  0.19080675 -0.02630311  0.19992139  0.17806243  0.03142152 -0.06612681  0.00865385  0.02872208 -0.30140835  0.08796121  0.08918782 -0.01616899 -0.00157144 -0.09590492 -0.12599877 -0.15210297 -0.12177053  0.17083958  0.14295338 -0.07332624  0.27416302  0.02284512 -0.15940971  0.17984757  0.01452250 -0.01536804  0.06073711  0.03474915 -0.01647616  0.06032000 -0.08491988 -0.08926072 -0.07164112  0.07776704
  35480    2558    0.20789501 -0.06905212 -0.19148133  0.10693239  0.03593114 -0.05594799 -0.08110720  0.16321726  0.16664434 -0.10677022 -0.06807905 -0.10567577  0.09451091 -0.18278499 -0.06511364  0.16230957 -0.06992497 -0.17077613 -0.12684143  0.25573328  0.00895222  0.06974863  0.08376192 -0.04565399 -0.01178890 -0.01735928  0.05680199 -0.24456160 -0.09464009  0.00011958 -0.04320419 -0.06930027 -0.30502307 -0.09722840  0.26257947 -0.13279691  0.08178282 -0.00193312 -0.06160850  0.02364659 -0.02745221 -0.08955657  0.11991197  0.12243879 -0.09245240  0.06931163 -0.03382668  0.24692495 -0.08227158  0.11212466  0.20697856 -0.20305664 -0.14079932 -0.10733708  0.00797252  0.02948193  0.11822198 -0.07129116  0.20005878 -0.07326193 -0.01083321 -0.08707095 -0.09004549  0.00074923
  35819    339    -0.02170680  0.07808105 -0.04144793 -0.22801318 -0.06587550  0.10315750 -0.04127898  0.11355626  0.08424451 -0.16040600 -0.33823613 -0.09996070 -0.08640067 -0.11197365  0.11393332 -0.00446688  0.03920222  0.06830730  0.22130775 -0.01666598 -0.07100102 -0.07946318  0.02411068 -0.07178571 -0.01769930 -0.00256828  0.26697999 -0.03708073  0.01402230  0.03233991 -0.05091276  0.14355860  0.04952798 -0.00749307  0.00631804 -0.02527672 -0.06336611 -0.04667361  0.02112353  0.13051072  0.16601531  0.05459255 -0.04569215  0.04120212 -0.07589540  0.10912773 -0.09293129  0.26207973 -0.07422993  0.00625119 -0.02751149  0.03546972 -0.12705721 -0.07826436 -0.16857964 -0.14384461  0.06316062  0.04262368 -0.40918189 -0.04778829  0.21728770  0.25317925  0.00166483 -0.16731601
  37272    1453    0.14727605  0.18350155  0.04266859 -0.22685865  0.09584873  0.02881819  0.14666921  0.05257511  0.07610216  0.01226539 -0.13357639  0.14150392  0.04453326  0.17231211  0.03865672 -0.16402504  0.13052259 -0.11407133  0.07938366 -0.05047960  0.14743836 -0.16279205  0.08268005 -0.00886929 -0.04700477 -0.22233475 -0.32651170  0.07951314  0.15199198  0.13610238 -0.05843370 -0.28255245 -0.11027362  0.17249452  0.15985826 -0.08566980 -0.31525422 -0.05219587 -0.15842983 -0.05382494 -0.14787858 -0.03424476 -0.09880356 -0.02402667 -0.02403633 -0.02860155 -0.06468643  0.11262338 -0.13627183 -0.11697844  0.01423059  0.01472627 -0.04741806 -0.08152184  0.12046935 -0.05739214  0.00094310  0.10467179  0.05318835 -0.06751834  0.11195510 -0.01152979 -0.12905384  0.07793326
  38127    855    -0.20645529  0.20717690 -0.12764750 -0.05592682 -0.03545857 -0.10872942  0.09413284  0.10472618  0.00985962 -0.12717000  0.11797173 -0.00677103 -0.01473612 -0.03933753  0.26069091 -0.15412079 -0.01820888  0.12238731 -0.26906941 -0.00062296  0.21331808  0.15965234  0.04994379 -0.21056046  0.19088801  0.00164518  0.16278688  0.25156979  0.00657508 -0.10969502  0.01064646 -0.14603957 -0.01918647  0.08629579  0.03547378  0.07888649 -0.02898989 -0.01483451  0.02040223 -0.00412034  0.01750551 -0.04764003 -0.09314148  0.14631937  0.00132790  0.16540657  0.11802360  0.18177139  0.24071809 -0.00011658 -0.22909925  0.03071763  0.03982534 -0.15507751 -0.08078773  0.05446565  0.23285577 -0.09557956  0.06488268 -0.09087596 -0.02409246 -0.11359045  0.01091313  0.11585696
  39506    1379   -0.05914584 -0.00673643  0.05844100 -0.07581898  0.01351531 -0.21077712 -0.05552290 -0.08130343  0.05195228  0.02043295  0.24624755  0.13116093 -0.08653955 -0.01242784 -0.18518661 -0.01195554  0.16450674 -0.06075299  0.05190142  0.23402876 -0.11825431  0.07688852  0.02167410  0.06993641  0.10428177 -0.05689800  0.05000126  0.02293135 -0.17863359 -0.06094713 -0.07091658 -0.04143000  0.02945256 -0.04719785 -0.13311720  0.04243904 -0.11323888 -0.10587644  0.05813623 -0.19991416  0.25254165  0.14797249  0.20915968 -0.30817254 -0.00681022  0.09565802  0.16205309  0.09387637 -0.18660698 -0.23401535 -0.12310668 -0.16710310 -0.02290266 -0.00719001 -0.00871492 -0.08841324  0.19660139  0.04451919  0.05611901 -0.07522699  0.27241535 -0.00274025 -0.10979641  0.03827316
  39986    480     0.01667221 -0.05126859 -0.10562979  0.07476706  0.01294126  0.07923286 -0.16424895 -0.06086469  0.05557779 -0.08513183 -0.00796318 -0.03509241  0.06574741  0.24195256 -0.18136627  0.06759139 -0.10274551  0.02675668  0.07890934 -0.20340253  0.18915681 -0.02086376 -0.19607757  0.04785637  0.11295649 -0.14668730  0.13818291 -0.00910314 -0.08401432 -0.02365971  0.07245629  0.20972473  0.03952243 -0.10674238 -0.01611062 -0.16126913 -0.07054856 -0.03042578  0.04567508  0.11488339 -0.33408848 -0.09606606  0.02407780 -0.11679057  0.01598638  0.01405820 -0.06318106 -0.03459669  0.21357617 -0.10396556 -0.18853551 -0.20122275 -0.00951340 -0.28940732  0.04885454 -0.35091075  0.06034498  0.00489499  0.07795846  0.06118082  0.11907217 -0.05273943 -0.09708883  0.04806812
  40754    768     0.04434638  0.01675955  0.15548062 -0.06662345 -0.11085209 -0.05032233 -0.02296956  0.04798957  0.00109306 -0.08262244  0.06105810  0.05801170  0.07850782 -0.01909149 -0.29232307 -0.02594955 -0.13446944 -0.02015107  0.23492720  0.07970258  0.06768107  0.08966851 -0.00663202 -0.17846889 -0.12317570  0.04670719 -0.03637070  0.10654260  0.09605105  0.20702789  0.03370034 -0.20033745 -0.06594760 -0.12993321 -0.02539664  0.16192056  0.19664567 -0.06963533  0.01672727  0.15207011  0.15170198  0.11275245 -0.08887067  0.07058244  0.22713621  0.07076632  0.02266471  0.08638827  0.32924792 -0.04089605  0.16951969  0.06937722 -0.09767486 -0.03097752 -0.11881172 -0.11715191 -0.21213176 -0.00856605  0.15658044  0.09496073  0.22110457  0.06717076  0.03653929  0.23123545
  43228    2474   -0.01370459 -0.06564484  0.09083976  0.03820562 -0.01569199  0.07940851 -0.06011056  0.00926633 -0.16659880  0.20034170 -0.32621203  0.06221026  0.28156374  0.02361689 -0.02528193 -0.05849327 -0.03304254  0.02721684 -0.03434351  0.05605679 -0.04761306  0.22728330 -0.02369766 -0.20105230 -0.09498032  0.11525252  0.03371992  0.01011114 -0.00072578 -0.07164603 -0.00470363 -0.07987869 -0.07896700  0.10467308  0.07257134  0.08731072 -0.15598982 -0.05009663 -0.22991944  0.14201751  0.07758811  0.16255664  0.11473197 -0.05341235 -0.14424116 -0.17627793  0.13786281 -0.18343513  0.04356152 -0.07979722 -0.02017990 -0.01817634  0.18574411 -0.05938841 -0.10511244 -0.15125781  0.05871692 -0.30804634  0.01842931 -0.04362406  0.11633712 -0.17765326 -0.07046871 -0.25054202
  43798    570    -0.18721073 -0.23791218  0.06037373  0.01048850 -0.16171566 -0.14007552  0.08918472  0.13393494  0.01922578  0.13636548  0.01763929 -0.01470260  0.17578934  0.09709221 -0.16111448 -0.09872807 -0.03062409  0.10284829  0.07482556  0.07477316 -0.13790435  0.05965359 -0.03170677  0.04628351  0.00714417 -0.00104699  0.03034063 -0.02094851  0.33653366 -0.00502881 -0.05656772 -0.02073174 -0.11181802 -0.03828780 -0.00747675 -0.04580943 -0.18640750  0.22715342  0.17388264 -0.07584622  0.03445522 -0.29737633 -0.04128643 -0.02039575  0.16576267 -0.08884276 -0.04658751  0.21600200 -0.01714313 -0.09999575 -0.10376779  0.03061945 -0.05539415 -0.06855235  0.00354373  0.02453818  0.11763408 -0.16292776  0.08355946  0.11998757 -0.22144183  0.27761284 -0.08204693 -0.17685049
  49565    5767   -0.01287798 -0.07537061  0.01976751 -0.15367787 -0.07076206 -0.25024620  0.06599157 -0.00697452  0.20104723 -0.17927891 -0.09424349 -0.03057451  0.14363177  0.04513665 -0.10005527 -0.11906804 -0.17896019 -0.08064360 -0.08831435 -0.25288271 -0.03131333  0.17727748  0.16288030  0.17968719  0.20036372 -0.18227036  0.05825814 -0.09788603  0.01504625  0.00643178 -0.20620763  0.11587416  0.12411377  0.09487592 -0.02931564 -0.12805991 -0.02463916 -0.39819883 -0.04047695  0.00957546  0.03910888  0.17355129  0.08268947  0.09954001  0.03350231 -0.04479382 -0.08812266 -0.03702037 -0.06212654  0.01480794 -0.04870079  0.04922499  0.00951661  0.05297181 -0.03137952  0.20224896 -0.18287615 -0.23045878  0.07585465  0.11113029 -0.01904614  0.00374699  0.04314709  0.03213898
  57011    7446   -0.23136794  0.02288402  0.40204192  0.17893266 -0.20725108 -0.01176238 -0.14580611 -0.25294070 -0.08109359 -0.05684572 -0.08481455  0.09243213  0.08027236 -0.01766011  0.18796806  0.01055234  0.09430398 -0.04840094 -0.06193031 -0.14571322 -0.03202460 -0.14850088 -0.15169992  0.00181023  0.04757768  0.05942788  0.07550551 -0.04641073 -0.04419937  0.00378914 -0.02388022  0.03258768 -0.04146775 -0.06933096  0.12121658 -0.31679446 -0.08645684  0.07519615 -0.18182973  0.10554480  0.16251132 -0.02991026 -0.10927740  0.08713689  0.08457181  0.19528128  0.02310121  0.04941113 -0.16435977 -0.02463788  0.14652838 -0.03313540  0.05413603 -0.06512134  0.07185290  0.07138758  0.10310828 -0.01407505  0.17845528  0.08247466  0.12014087  0.04278209  0.12679511  0.18198596
  59262    2251   -0.01148472  0.08700212 -0.07522218  0.02553443  0.19511322 -0.05939893 -0.02183998  0.03861516 -0.01016349  0.16537286 -0.06760951  0.09903566  0.07204379  0.16365530  0.04982125  0.25564751  0.09481047  0.27189073  0.08569827  0.21523003 -0.17598888  0.09904895  0.14565132 -0.02592563  0.28792928 -0.11723581  0.05390713 -0.02862042 -0.00398614 -0.12706164 -0.06098106 -0.06468363  0.05105887 -0.03126635  0.15973795 -0.19451798 -0.06860717 -0.02602666  0.07953285  0.04841176  0.01828060  0.12875089 -0.15440148 -0.04514049  0.20766628 -0.12669924  0.23829769  0.04568659 -0.03564679  0.23462902  0.05302061  0.08398431  0.01515394 -0.16404673  0.03700786 -0.13318177 -0.20601786  0.11858556 -0.05082330  0.08402812 -0.06489602 -0.04000224  0.20330508  0.09764741
