# Shadow tomography log started 2020-01-30 02:46:15
# Dimension = 32
# True state = ( 0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15        re16        im16        re17        im17        re18        im18        re19        im19        re20        im20        re21        im21        re22        im22        re23        im23        re24        im24        re25        im25        re26        im26        re27        im27        re28        im28        re29        im29        re30        im30        re31        im31
  1611     1611   -0.05287145 -0.06147761 -0.17118268 -0.07500159 -0.14138696 -0.06738695 -0.03439077  0.02763403  0.11944664  0.23480191 -0.02255383 -0.06508800 -0.05376004 -0.15091363 -0.08132888  0.08322056  0.23725234  0.15442699 -0.01799427 -0.01540522 -0.06420632 -0.14589898 -0.32427888 -0.23586804 -0.07329079 -0.19792974 -0.09249790  0.07950672  0.02764107  0.07201331  0.27098533  0.05381363  0.10838764  0.23227439 -0.10879550  0.02022451  0.14074033 -0.25659588 -0.02242108  0.06075417  0.01845885  0.06490705 -0.04382481 -0.02963789  0.00889936 -0.14731080 -0.09149276  0.15957929 -0.11946456  0.11103661  0.07532989 -0.06375884 -0.02177614 -0.04953199  0.12624662  0.04681070  0.16191392 -0.20613972  0.05151929  0.15822567 -0.03271712 -0.08268140  0.04801814  0.12370210
  2838     1227    0.02339155  0.16378328  0.18670818  0.32879470 -0.04621190  0.19982659 -0.05261382  0.11118771  0.15257270 -0.02259366 -0.06060405  0.19133771  0.10560527  0.06165663 -0.16899344 -0.08910652 -0.13716646  0.08788553 -0.05822204 -0.03461299 -0.18797481 -0.00505210  0.07948062 -0.02727456 -0.03003562 -0.15721818 -0.02851697 -0.10155429 -0.02983021  0.05045590 -0.16520057  0.00355944  0.16506389  0.16365657  0.11888947  0.09374842  0.12080519  0.01375839  0.13606103 -0.05774443  0.08875781 -0.20094555  0.02761326 -0.17060722 -0.23055273 -0.19641160 -0.10607017  0.10010340  0.14710982  0.03982118 -0.04083061  0.03078652  0.02824919 -0.00217538 -0.02221917  0.10730436  0.21445341  0.06658230 -0.12138083 -0.11768299  0.07953611 -0.04523674  0.18027316  0.22948693
  3127     289    -0.07286356  0.00908493  0.03898370  0.13164303 -0.07833169  0.09111442 -0.03780151  0.00602163  0.01506768  0.03827137  0.11109874 -0.02160472  0.03250120  0.05591246 -0.08243070 -0.07736622  0.18510891 -0.04237925  0.10508065  0.02745193  0.01797068  0.13520644  0.14046547 -0.10002521  0.17009886  0.02401342  0.13937546  0.06652329  0.23786227  0.14314445  0.17849425  0.00039602  0.03121425 -0.24864294  0.08484565 -0.09916044 -0.06354305  0.09893953  0.02219131  0.14867268 -0.10015779  0.25936887 -0.03823803  0.11636356 -0.07967284 -0.15771538 -0.07627763 -0.00752558 -0.00637366 -0.02642813 -0.12501365 -0.23821174 -0.22735756  0.19679594  0.24413471  0.29983991 -0.02835087 -0.03392768 -0.21766293 -0.12746704  0.09698497 -0.16416475 -0.09174490  0.02930152
  6958     3831    0.01973473 -0.18745605  0.11768413 -0.07219062 -0.14727623 -0.01115775 -0.00119208  0.11567624 -0.04469360 -0.09611660 -0.17546658  0.06864009 -0.06053249  0.16430954 -0.35472691  0.14958931  0.18972228 -0.22087456 -0.19633825  0.04428116  0.04545514 -0.08533321 -0.01551272 -0.07505855  0.27661423  0.02930035 -0.05522186  0.17829607 -0.37168751 -0.11937283  0.05570379 -0.06184770 -0.11334042  0.06404568 -0.11184591 -0.03021709 -0.11090604 -0.01197040  0.08181106  0.05710520 -0.05172694 -0.09870073 -0.25684927  0.09190131 -0.05174931 -0.05060951  0.04377409  0.00303482  0.10633074  0.00344157  0.10472248  0.02274943  0.02826851  0.19785072 -0.12617639  0.06621799  0.03008500  0.01820630 -0.15657770 -0.06420446 -0.08773891  0.06447394  0.01012382 -0.03000162
  8028     1070   -0.00413029  0.06950593  0.05260220 -0.02584107  0.09552960  0.02022496  0.05401491  0.19177783 -0.07200668  0.09017022 -0.06793398 -0.04022487  0.10196516  0.15020837 -0.14946129 -0.06587209  0.16978675  0.13215043  0.19798903 -0.11622136 -0.07501826 -0.13117611 -0.06053880  0.08862568  0.00187335  0.10089562  0.10759601  0.07920447 -0.04186886  0.10518981 -0.03546963  0.29371919 -0.15767425 -0.05293310 -0.18658887  0.04217143 -0.06890973  0.02446052 -0.20026248 -0.31202409  0.12268866  0.04256000  0.15428402  0.20049813 -0.17714915  0.11355330  0.09449671  0.16434011  0.11977605  0.15856216  0.04808431 -0.04810066  0.10444842 -0.14703692 -0.00894089  0.10599878 -0.14559013  0.02400592  0.07903140 -0.16262993 -0.17076952 -0.14368183 -0.09327864  0.18023421
  8485     457    -0.11852731  0.06239822 -0.07594361 -0.11434188 -0.10371656  0.17287352 -0.03205234 -0.48112218  0.01956825  0.01814085  0.07089116 -0.00906475  0.04832877 -0.05887330 -0.02362797 -0.03855032 -0.12120284  0.03597554  0.08010650  0.07659305 -0.07431017 -0.07933633  0.05018990  0.08824172  0.02557896  0.12460217 -0.14801456 -0.06514304 -0.09241019 -0.07666036 -0.12638774 -0.09649738 -0.32178563 -0.02277065 -0.10030167  0.09335375 -0.15186323 -0.13567393 -0.01587280 -0.04749963 -0.03496641  0.07581257 -0.06017272 -0.04604058 -0.15848807 -0.05727611 -0.00795415  0.05155184  0.19721257  0.06820976  0.00251750 -0.04767374 -0.28502625 -0.20102407 -0.00741719  0.11048347  0.07566780 -0.04964020 -0.20036707  0.25831879 -0.15979231 -0.08134853  0.07714098  0.02063781
  9085     600    -0.02298501  0.09635352 -0.00045405 -0.06955743 -0.01953989  0.10574402 -0.07387635  0.09009102 -0.15290882  0.26356252 -0.04984447  0.03840962  0.30021750  0.02700796 -0.00298926  0.10146657 -0.08466625 -0.15741288 -0.02357000 -0.03142483  0.20656449 -0.04427649 -0.13745769 -0.08870195  0.03939420  0.12525638 -0.04573923  0.09889752 -0.02079595  0.01598912 -0.10614628 -0.00219506  0.19792922 -0.17652697  0.09922576 -0.05620910 -0.00177526 -0.26223907  0.02673691 -0.10671193 -0.02752528 -0.01116930  0.19047291 -0.12770263  0.05751131  0.13375644  0.05882658 -0.00303679 -0.00525389  0.32258702 -0.13221045  0.13971745 -0.32298616  0.18314017 -0.01057535  0.07633341  0.16897040  0.11379225  0.07155405 -0.02124864 -0.03128124  0.18826694 -0.05974016 -0.04445582
  9425     340    -0.05153598 -0.01603912  0.03260419  0.12931836  0.01260969 -0.05276953 -0.18543550  0.05647203  0.13246660  0.03664369  0.05606741 -0.21013072  0.14192044 -0.07876632  0.00735587 -0.13556666 -0.10502314 -0.10803823 -0.00425051  0.23542890 -0.05710101 -0.02231169 -0.08755253 -0.14017652  0.17392673  0.06635209 -0.02205398 -0.14019586  0.29841692  0.00160118  0.06666826  0.02915318  0.09558252  0.07945307 -0.27056137  0.05422886 -0.19765797 -0.18259052 -0.01584991  0.04917225 -0.23682226 -0.15189860 -0.05827719  0.09958904 -0.21003633  0.13259325  0.22690816 -0.06729754 -0.13289555 -0.07255899  0.10676489  0.08215679  0.08006733  0.01326183 -0.17422515  0.00247892 -0.07708538  0.27584477 -0.06037146  0.07963498  0.08041278 -0.04986532 -0.00395542  0.11656179
  15586    6161    0.17122988 -0.00990463 -0.08660964  0.15597244 -0.14683112  0.09050005 -0.05685427  0.09528488  0.00981251  0.02325705  0.19880301  0.06884680  0.28361396 -0.09451849 -0.01060894 -0.11718021  0.03370414 -0.15347071  0.20768655  0.06574758  0.14287413 -0.01302076  0.06550782  0.20034739 -0.08872418  0.17428519 -0.03702160  0.08536581 -0.11821662 -0.15557557  0.26629783  0.13434628 -0.10800674  0.28404628  0.15070941 -0.05831648 -0.06333785 -0.10697282  0.16066632 -0.05952478  0.02598046  0.10255137 -0.07101283  0.07105678  0.16198402  0.06072736 -0.03748705  0.11015995 -0.03207110  0.02872639 -0.15648184  0.04487573  0.24723181 -0.12638100  0.05245399  0.12522627 -0.05075452  0.04801013 -0.08464879  0.05430220  0.14676608  0.03611944  0.18112785 -0.12172682
  17892    2306    0.15737257  0.26435383 -0.03437436  0.14867663 -0.14101739 -0.17936296  0.09238823  0.07523367 -0.08602444 -0.07000446  0.02480923 -0.15107987  0.17777100  0.10970532  0.04326232  0.22654740 -0.02680435  0.12778829 -0.03652324  0.01444663 -0.31952023 -0.13914599 -0.09192652 -0.00139530  0.05147009  0.00408468 -0.12645372  0.12272605  0.01656391 -0.16277602 -0.05339485 -0.15352073 -0.00218482  0.03506661 -0.17413630 -0.09683282  0.08956445 -0.03070650 -0.02420085  0.06421220  0.11171064 -0.14730722 -0.03464355 -0.02596553 -0.02878377  0.21146665 -0.19532664 -0.12086749  0.10240422 -0.03879452 -0.07700719 -0.02488960 -0.10381868 -0.06883758  0.13794199  0.13651155 -0.16124385 -0.02436875 -0.04630552 -0.00018630  0.22482533 -0.10460640 -0.20515839 -0.23414462
