# Shadow tomography log started 2019-12-30 18:49:40
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  856605   65053   0.36166488  0.46016365  0.59902797 -0.03632493 -0.10581332  0.41336980  0.33076977  0.07625112
  891242   34637   0.41288443 -0.29190181  0.31541816  0.52631916  0.31763735 -0.47671939  0.09871957  0.17297080
  932963   41721   0.38791994 -0.51914403  0.45568737 -0.02325103  0.25154614 -0.05028110  0.41525933  0.36547510
  1020246  87283   0.11521761 -0.08847315 -0.19815356  0.42236834  0.63979571 -0.44060116 -0.07471127 -0.39011260
  1030375  10129   0.45998468 -0.45706089 -0.36135332 -0.42906190 -0.08562733  0.00087150 -0.49990958 -0.08715912
  1076591  46216   0.36008951  0.09354133 -0.48260334  0.16300996 -0.45860706 -0.33626653  0.52686670  0.03351413
  1109737  33146  -0.84091767  0.34590620  0.13444843 -0.34364059  0.06744716  0.15825183  0.04680559  0.07250934
  1124093  14356  -0.10463335 -0.19334731 -0.46593274 -0.20422930 -0.34979005 -0.02114652  0.62340263 -0.42595148
  1228061  103968 -0.18657939 -0.00582081 -0.47110836 -0.03177914 -0.48685957 -0.43100662 -0.48354810  0.29254665
  1250992  22931  -0.09970669  0.28299801  0.49460051  0.37074138 -0.30715860 -0.57485792  0.19718559 -0.25338049
  1253062  2070   -0.56891917 -0.01055095 -0.02504114  0.06315727  0.20352466 -0.37881777  0.65372934  0.24354980
  1390790  137728  0.47624449 -0.04574826  0.31086603  0.17384531 -0.54350373 -0.22134490  0.27291801  0.47472550
  1421741  30951   0.26444835  0.26139414  0.52059106 -0.60138540  0.45300232 -0.11851744  0.08203913  0.05543304
  1423006  1265    0.54632164  0.10291150 -0.31514652  0.36949620  0.45949970  0.20071741  0.43999142 -0.10038535
  1425362  2356   -0.08411186 -0.21929462  0.40140634  0.25704478  0.19970503 -0.55824686  0.40465858 -0.44985082
  1481840  56478  -0.01066030  0.10207124 -0.23564557 -0.34336668 -0.28452727  0.32712290  0.71373941 -0.34445495
  1506823  24983  -0.78202966 -0.36708905 -0.41675093 -0.16604046  0.18181092 -0.11813248 -0.01530088  0.07197127
  1598876  92053  -0.43097688 -0.04729754  0.58786091  0.22921649  0.02981129  0.64235035  0.01807970 -0.00846533
  1602130  3254   -0.03145433  0.44938817  0.45960609  0.52763480  0.44800345  0.01824530  0.20597151  0.25290396
  1651644  49514   0.39757146 -0.29962651  0.30361133  0.50695653 -0.24523229 -0.05815048 -0.56892734 -0.12560836
  1683913  32269   0.66114511 -0.24436310 -0.26129510  0.09206736  0.00987504  0.27488119  0.40568885  0.43148773
  1768710  84797   0.11880300 -0.19565644 -0.23937677 -0.16470047  0.75942689 -0.28818964 -0.42165661  0.16000049
  1796393  27683  -0.41369457  0.40002363  0.18610483 -0.19169489  0.01257616 -0.12855545 -0.60008217  0.46975812
  1799345  2952   -0.13464650 -0.52210275  0.19150375 -0.21096768 -0.02141691 -0.71751865  0.22207863  0.25196701
  1908787  109442  0.05695468 -0.25506567  0.25377750 -0.79787771  0.07214504  0.47446080  0.01347172 -0.01365130
  1958675  49888   0.43896751  0.34223111 -0.04212836 -0.38032926 -0.09125595 -0.47893427 -0.25121611 -0.49289454
  2006759  48084   0.17224123 -0.25029677  0.23188785  0.37323706  0.31037536 -0.49066882 -0.13812972  0.59869694
  2086272  79513   0.68288986  0.10660525  0.06610433  0.49104432 -0.45512440  0.16637622  0.19376607 -0.06661749
  2131099  44827   0.19891367  0.01337494 -0.25691168 -0.09115868  0.52940050  0.22743894  0.72140473  0.18309234
  2142677  11578  -0.07817772  0.61977734  0.69065771  0.10052971  0.30557648  0.05216922  0.06586324 -0.14904166
  2156357  13680   0.32587063 -0.10360845 -0.31047723 -0.32154520 -0.12782238  0.28343123 -0.67178524  0.36785726
  2183664  27307  -0.33512412  0.34901328 -0.62319827 -0.50516575 -0.13054730  0.03604263  0.31448872 -0.07119134
  2223195  39531   0.54654207  0.14107087 -0.03091479 -0.33148571  0.62604168 -0.39698142  0.14297655  0.02423970
  2327475  104280  0.37545247 -0.43517972  0.01627974 -0.21340226 -0.05470455  0.57660341  0.40350497 -0.35435596
  2365749  38274   0.29107791 -0.21425156 -0.64268535  0.56725723  0.21435144 -0.22231285  0.19137458  0.05050669
  2390153  24404   0.01279930 -0.68800005 -0.09765445 -0.17417948  0.17034689  0.10135162 -0.59259606 -0.31009179
  2466819  76666   0.22579075 -0.57781775  0.11699394 -0.22463025 -0.30405376  0.07726162  0.34654533  0.57661698
  2504512  37693  -0.08865631  0.05610051 -0.40031991 -0.02995887 -0.86874367 -0.11048364 -0.16471116 -0.18381313
  2515821  11309  -0.45469829 -0.15116625 -0.35121444  0.55990875  0.00507559  0.14078644  0.44313740  0.34253685
  2572767  56946   0.06613800  0.03389382 -0.22089515 -0.43562127  0.55754569 -0.36106260  0.56096835  0.00274370
  2648798  76031   0.19436432 -0.79830591  0.21837015  0.04010696  0.07531369  0.27363740  0.24551815 -0.36716122
  2700332  51534  -0.23468372 -0.18635703  0.45142755 -0.26741191 -0.54497820 -0.40172030  0.29063554  0.30339609
  2713261  12929  -0.78021519  0.21113897  0.42889044  0.18631065  0.22408169 -0.10629214 -0.19452111 -0.16934237
  2756012  42751   0.15927041  0.27304677 -0.37510093  0.42368187 -0.02227151  0.23439329 -0.66215525 -0.29323294
  2872255  116243 -0.17687650  0.11430171 -0.20024377  0.47988114 -0.61395880 -0.45971910  0.16643209  0.26321028
  2880420  8165    0.41272670  0.17907956  0.19072071  0.39290765  0.36864692 -0.39857940  0.35427013 -0.43192934
  2967165  86745   0.52341181 -0.37913886  0.05781556  0.39078427 -0.43841100  0.20893298 -0.39768420  0.17952409
  2974364  7199    0.32534096 -0.23330530 -0.03212116 -0.88758939 -0.06851402 -0.09921651 -0.14936888  0.11843161
  3015027  40663   0.24043005 -0.54734511  0.00117646  0.09248336  0.38140465 -0.07188952  0.16632621 -0.67509269
  3057667  42640  -0.19695542  0.16072021 -0.03016797 -0.21362035 -0.32401889  0.70283630 -0.13551284 -0.52105948
  3087955  30288   0.59275204  0.14226658 -0.16521416  0.09278966  0.05767804  0.37542025  0.66697211 -0.05814365
  3118867  30912   0.41524228  0.27434409  0.34236971  0.15459541 -0.59530738 -0.00631625 -0.34182503 -0.37405519
  3178466  59599   0.36963068  0.36345005  0.06839381 -0.61004966  0.45708952 -0.33407521 -0.16313902 -0.08536685
  3235378  56912  -0.12123870  0.31191795 -0.66600125  0.05080968  0.11468522  0.40940485 -0.39901494 -0.31920389
  3280178  44800   0.28250181 -0.20933908  0.49604343  0.09594341 -0.56955498 -0.44954442 -0.11510992 -0.28525831
  3288214  8036   -0.60726404 -0.57195310  0.06095533  0.44860562  0.03347496 -0.16118929 -0.01395017  0.26803043
  3344238  56024  -0.07242128  0.11505091 -0.65077740 -0.05388899 -0.59172985 -0.29176438  0.25740930  0.23145837
  3429993  85755   0.39010622  0.09902272  0.30236015  0.14810912 -0.05902064  0.08752301  0.06733299  0.84200726
  3440904  10911  -0.40944375 -0.20730462 -0.00715140  0.09609807 -0.19588731  0.63130612 -0.55228403 -0.19534003
  3548411  107507  0.00412851  0.10627575  0.87855254  0.14921464 -0.34864362  0.11508185  0.16211297  0.18300827
  3588501  40090  -0.36213924  0.32252908  0.01854217 -0.40360762 -0.36377068 -0.52946240 -0.42734070  0.07942058
  3614923  26422   0.53438509 -0.50727879  0.12612410 -0.13207662  0.03328675 -0.12048650 -0.51406348  0.37929278
  3634048  19125   0.45352288 -0.21923241 -0.14925280  0.21978748  0.56384913 -0.42929502  0.18583550  0.37271481
  3698711  64663  -0.17003165  0.16880730  0.52751207  0.63748036 -0.05351413  0.21581111  0.03103556  0.45556749
  3702899  4188    0.51771340 -0.36036354  0.42597558  0.12652414 -0.02999017  0.07828765 -0.52562309 -0.34833805
